asset,year,region,technology,installed,capacity
0,2045,Kenya,Biomass Power Plant,2020,2.56550000000
0,2049,Kenya,Biomass Power Plant,2020,2.52450000000
0,2050,Kenya,Biomass Power Plant,2020,2.51420000000
0,2054,Kenya,Biomass Power Plant,2020,2.09520000000
0,2055,Kenya,Biomass Power Plant,2020,1.99040000000
0,2059,Kenya,Biomass Power Plant,2020,1.57140000000
0,2060,Kenya,Biomass Power Plant,2020,1.46660000000
0,2064,Kenya,Biomass Power Plant,2020,1.04760000000
0,2065,Kenya,Biomass Power Plant,2020,0.94280000000
0,2069,Kenya,Biomass Power Plant,2020,0.52380000000
0,2070,Kenya,Biomass Power Plant,2020,0.41900000000
1,2045,Kenya,Geothermal Power Plant,2020,19.43930000000
1,2049,Kenya,Geothermal Power Plant,2020,19.24820000000
1,2050,Kenya,Geothermal Power Plant,2020,11.70520000000
1,2054,Kenya,Geothermal Power Plant,2020,9.75430000000
1,2055,Kenya,Geothermal Power Plant,2020,9.26660000000
1,2059,Kenya,Geothermal Power Plant,2020,7.31570000000
1,2060,Kenya,Geothermal Power Plant,2020,6.82800000000
1,2064,Kenya,Geothermal Power Plant,2020,4.87710000000
1,2065,Kenya,Geothermal Power Plant,2020,4.38940000000
1,2069,Kenya,Geothermal Power Plant,2020,2.43860000000
1,2070,Kenya,Geothermal Power Plant,2020,1.95090000000
2,2045,Kenya,Geothermal Power Plant,2025,17.33220000000
2,2049,Kenya,Geothermal Power Plant,2025,17.33220000000
2,2050,Kenya,Geothermal Power Plant,2025,17.33220000000
2,2054,Kenya,Geothermal Power Plant,2025,17.33220000000
3,2045,Kenya,Geothermal Power Plant,2030,45.13950000000
3,2049,Kenya,Geothermal Power Plant,2030,45.13950000000
3,2050,Kenya,Geothermal Power Plant,2030,45.13950000000
3,2054,Kenya,Geothermal Power Plant,2030,45.13950000000
3,2055,Kenya,Geothermal Power Plant,2030,45.13950000000
3,2059,Kenya,Geothermal Power Plant,2030,45.13950000000
4,2045,Kenya,Geothermal Power Plant,2035,45.45590000000
4,2049,Kenya,Geothermal Power Plant,2035,45.45590000000
4,2050,Kenya,Geothermal Power Plant,2035,45.45590000000
4,2054,Kenya,Geothermal Power Plant,2035,45.45590000000
4,2055,Kenya,Geothermal Power Plant,2035,45.45590000000
4,2059,Kenya,Geothermal Power Plant,2035,45.45590000000
4,2060,Kenya,Geothermal Power Plant,2035,45.45590000000
4,2064,Kenya,Geothermal Power Plant,2035,45.45590000000
5,2045,Kenya,Geothermal Power Plant,2040,44.91970000000
5,2049,Kenya,Geothermal Power Plant,2040,44.91970000000
5,2050,Kenya,Geothermal Power Plant,2040,44.91970000000
5,2054,Kenya,Geothermal Power Plant,2040,44.91970000000
5,2055,Kenya,Geothermal Power Plant,2040,44.91970000000
5,2059,Kenya,Geothermal Power Plant,2040,44.91970000000
5,2060,Kenya,Geothermal Power Plant,2040,44.91970000000
5,2064,Kenya,Geothermal Power Plant,2040,44.91970000000
5,2065,Kenya,Geothermal Power Plant,2040,44.91970000000
5,2069,Kenya,Geothermal Power Plant,2040,44.91970000000
6,2050,Kenya,Geothermal Power Plant,2045,46.13820000000
6,2054,Kenya,Geothermal Power Plant,2045,46.13820000000
6,2055,Kenya,Geothermal Power Plant,2045,46.13820000000
6,2059,Kenya,Geothermal Power Plant,2045,46.13820000000
6,2060,Kenya,Geothermal Power Plant,2045,46.13820000000
6,2064,Kenya,Geothermal Power Plant,2045,46.13820000000
6,2065,Kenya,Geothermal Power Plant,2045,46.13820000000
6,2069,Kenya,Geothermal Power Plant,2045,46.13820000000
6,2070,Kenya,Geothermal Power Plant,2045,46.13820000000
6,2074,Kenya,Geothermal Power Plant,2045,46.13820000000
7,2045,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,14.22450000000
7,2049,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,13.99690000000
7,2050,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,13.94000000000
7,2054,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,11.61670000000
7,2055,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,11.03590000000
7,2059,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,8.71250000000
7,2060,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,8.13170000000
7,2064,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,5.80830000000
7,2065,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,5.22750000000
7,2069,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,2.90420000000
7,2070,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,2.32330000000
8,2045,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2049,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2050,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2054,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2055,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2059,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2060,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2064,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2065,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2069,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2070,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2074,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2075,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
8,2079,Kenya,Large Hydropower Plant (Dam) (>100MW),2025,0.78750000000
9,2045,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2049,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2050,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2054,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2055,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2059,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2060,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2064,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2065,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2069,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2070,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2074,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2075,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2079,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2080,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
9,2084,Kenya,Large Hydropower Plant (Dam) (>100MW),2030,10.59880000000
10,2045,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2049,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2050,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2054,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2055,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2059,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2060,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2064,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2065,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2069,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2070,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2074,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2075,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2079,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2080,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2084,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2085,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
10,2089,Kenya,Large Hydropower Plant (Dam) (>100MW),2035,9.35940000000
11,2045,Kenya,Large Hydropower Plant (Dam) (>100MW),2040,9.76230000000
