,commodity,region,technology,year,supply
0,electricity,Kenya,Biomass Power Plant,2050,10.05690000000
1,electricity,Kenya,Biomass Power Plant,2055,7.96170000000
2,electricity,Kenya,Geothermal Power Plant,2050,73.97660000000
3,electricity,Kenya,Geothermal Power Plant,2055,58.56480000000
4,electricity,Kenya,Geothermal Power Plant,2050,109.53960000000
5,electricity,Kenya,Geothermal Power Plant,2050,285.28190000000
6,electricity,Kenya,Geothermal Power Plant,2055,285.28190000000
7,electricity,Kenya,Geothermal Power Plant,2050,287.28160000000
8,electricity,Kenya,Geothermal Power Plant,2055,287.28160000000
9,electricity,Kenya,Geothermal Power Plant,2050,283.89220000000
10,electricity,Kenya,Geothermal Power Plant,2055,283.89220000000
11,electricity,Kenya,Geothermal Power Plant,2050,291.59320000000
12,electricity,Kenya,Geothermal Power Plant,2055,291.59320000000
13,electricity,Kenya,Geothermal Power Plant,2055,417.09530000000
14,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,53.52970000000
15,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2055,42.37770000000
16,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,3.02400000000
17,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2055,3.02400000000
18,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,40.69920000000
19,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2055,40.69920000000
20,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,35.94020000000
21,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2055,35.94020000000
22,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,37.48720000000
23,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2055,37.48720000000
24,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,37.67450000000
25,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2055,37.67450000000
26,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2055,13.83510000000
27,electricity,Kenya,Light Fuel Oil Power Plant,2050,51.40210000000
28,electricity,Kenya,Light Fuel Oil Power Plant,2055,40.69330000000
29,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,65.38140000000
30,electricity,Kenya,Medium Hydropower Plant (10-100MW),2055,59.82110000000
31,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,43.71520000000
32,electricity,Kenya,Medium Hydropower Plant (10-100MW),2055,43.71520000000
33,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,41.20040000000
34,electricity,Kenya,Medium Hydropower Plant (10-100MW),2055,41.20040000000
35,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,37.88800000000
36,electricity,Kenya,Medium Hydropower Plant (10-100MW),2055,37.88800000000
37,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,43.97180000000
38,electricity,Kenya,Medium Hydropower Plant (10-100MW),2055,43.97180000000
39,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,75.97350000000
40,electricity,Kenya,Medium Hydropower Plant (10-100MW),2055,75.97350000000
41,electricity,Kenya,Medium Hydropower Plant (10-100MW),2055,74.05260000000
42,electricity,Kenya,Oil Fired Gas Turbine (SCGT),2050,79.91910000000
43,electricity,Kenya,Oil Fired Gas Turbine (SCGT),2055,63.26930000000
44,electricity,Kenya,Onshore Wind,2050,13.66020000000
45,electricity,Kenya,Onshore Wind,2055,10.81430000000
46,electricity,Kenya,Small Hydropower Plant (<10MW),2050,3.02400000000
47,electricity,Kenya,Small Hydropower Plant (<10MW),2055,3.02400000000
48,electricity,Kenya,Small Hydropower Plant (<10MW),2050,40.69920000000
49,electricity,Kenya,Small Hydropower Plant (<10MW),2055,40.69920000000
50,electricity,Kenya,Small Hydropower Plant (<10MW),2050,35.94020000000
51,electricity,Kenya,Small Hydropower Plant (<10MW),2055,35.94020000000
52,electricity,Kenya,Small Hydropower Plant (<10MW),2050,37.48720000000
53,electricity,Kenya,Small Hydropower Plant (<10MW),2055,37.48720000000
54,electricity,Kenya,Small Hydropower Plant (<10MW),2050,37.67450000000
55,electricity,Kenya,Small Hydropower Plant (<10MW),2055,37.67450000000
56,electricity,Kenya,Small Hydropower Plant (<10MW),2055,13.83510000000
57,electricity,Kenya,Solar PV (Distributed with Storage),2050,1.56010000000
58,electricity,Kenya,Solar PV (Distributed with Storage),2055,1.23510000000
59,electricity,Kenya,Solar PV (Utility),2050,0.84820000000
60,electricity,Kenya,Solar PV (Utility),2055,0.67150000000
