,region,year,agent,replacement_,asset_,month,day,hour,LCOE,category,name
0,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Biomass Power Plant,autumn,all-week,day,26.511358401679626,retrofit,A1
1,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Biomass Power Plant,autumn,all-week,night,26.511358401679626,retrofit,A1
2,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Biomass Power Plant,spring,all-week,day,26.511358401679626,retrofit,A1
3,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Biomass Power Plant,spring,all-week,night,26.511358401679626,retrofit,A1
4,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Biomass Power Plant,summer,all-week,day,26.511358401679626,retrofit,A1
5,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Biomass Power Plant,summer,all-week,night,26.511358401679626,retrofit,A1
6,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Biomass Power Plant,winter,all-week,day,26.511358401679626,retrofit,A1
7,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Biomass Power Plant,winter,all-week,night,26.511358401679626,retrofit,A1
8,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Geothermal Power Plant,autumn,all-week,day,26.511358401679622,retrofit,A1
9,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Geothermal Power Plant,autumn,all-week,night,26.511358401679622,retrofit,A1
10,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Geothermal Power Plant,spring,all-week,day,26.511358401679622,retrofit,A1
11,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Geothermal Power Plant,spring,all-week,night,26.511358401679622,retrofit,A1
12,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Geothermal Power Plant,summer,all-week,day,26.511358401679622,retrofit,A1
13,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Geothermal Power Plant,summer,all-week,night,26.511358401679622,retrofit,A1
14,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Geothermal Power Plant,winter,all-week,day,26.511358401679622,retrofit,A1
15,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Geothermal Power Plant,winter,all-week,night,26.511358401679622,retrofit,A1
16,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Large Hydropower Plant (Dam) (>100MW),autumn,all-week,day,26.51135840167962,retrofit,A1
17,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Large Hydropower Plant (Dam) (>100MW),autumn,all-week,night,26.51135840167962,retrofit,A1
18,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Large Hydropower Plant (Dam) (>100MW),spring,all-week,day,26.51135840167962,retrofit,A1
19,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Large Hydropower Plant (Dam) (>100MW),spring,all-week,night,26.51135840167962,retrofit,A1
20,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Large Hydropower Plant (Dam) (>100MW),summer,all-week,day,26.51135840167962,retrofit,A1
21,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Large Hydropower Plant (Dam) (>100MW),summer,all-week,night,26.51135840167962,retrofit,A1
22,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Large Hydropower Plant (Dam) (>100MW),winter,all-week,day,26.51135840167962,retrofit,A1
23,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Large Hydropower Plant (Dam) (>100MW),winter,all-week,night,26.51135840167962,retrofit,A1
24,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Light Fuel Oil Power Plant,autumn,all-week,day,26.511358401679622,retrofit,A1
25,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Light Fuel Oil Power Plant,autumn,all-week,night,26.511358401679622,retrofit,A1
26,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Light Fuel Oil Power Plant,spring,all-week,day,26.511358401679622,retrofit,A1
27,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Light Fuel Oil Power Plant,spring,all-week,night,26.511358401679622,retrofit,A1
28,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Light Fuel Oil Power Plant,summer,all-week,day,26.511358401679622,retrofit,A1
29,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Light Fuel Oil Power Plant,summer,all-week,night,26.511358401679622,retrofit,A1
30,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Light Fuel Oil Power Plant,winter,all-week,day,26.511358401679622,retrofit,A1
31,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Light Fuel Oil Power Plant,winter,all-week,night,26.511358401679622,retrofit,A1
32,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Medium Hydropower Plant (10-100MW),autumn,all-week,day,26.511358401679626,retrofit,A1
33,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Medium Hydropower Plant (10-100MW),autumn,all-week,night,26.511358401679626,retrofit,A1
34,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Medium Hydropower Plant (10-100MW),spring,all-week,day,26.511358401679626,retrofit,A1
35,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Medium Hydropower Plant (10-100MW),spring,all-week,night,26.511358401679626,retrofit,A1
36,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Medium Hydropower Plant (10-100MW),summer,all-week,day,26.511358401679626,retrofit,A1
37,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Medium Hydropower Plant (10-100MW),summer,all-week,night,26.511358401679626,retrofit,A1
38,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Medium Hydropower Plant (10-100MW),winter,all-week,day,26.511358401679626,retrofit,A1
39,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Medium Hydropower Plant (10-100MW),winter,all-week,night,26.511358401679626,retrofit,A1
40,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),autumn,all-week,day,26.511358401679622,retrofit,A1
41,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),autumn,all-week,night,26.511358401679622,retrofit,A1
42,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),spring,all-week,day,26.511358401679622,retrofit,A1
43,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),spring,all-week,night,26.511358401679622,retrofit,A1
44,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),summer,all-week,day,26.511358401679622,retrofit,A1
45,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),summer,all-week,night,26.511358401679622,retrofit,A1
46,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),winter,all-week,day,26.511358401679622,retrofit,A1
47,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),winter,all-week,night,26.511358401679622,retrofit,A1
48,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Onshore Wind,autumn,all-week,day,26.51135840167962,retrofit,A1
49,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Onshore Wind,autumn,all-week,night,26.51135840167962,retrofit,A1
50,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Onshore Wind,spring,all-week,day,26.51135840167962,retrofit,A1
51,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Onshore Wind,spring,all-week,night,26.51135840167962,retrofit,A1
52,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Onshore Wind,summer,all-week,day,26.51135840167962,retrofit,A1
53,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Onshore Wind,summer,all-week,night,26.51135840167962,retrofit,A1
54,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Onshore Wind,winter,all-week,day,26.51135840167962,retrofit,A1
55,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Onshore Wind,winter,all-week,night,26.51135840167962,retrofit,A1
56,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Distributed with Storage),autumn,all-week,day,26.511358401679626,retrofit,A1
57,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Distributed with Storage),autumn,all-week,night,26.511358401679626,retrofit,A1
