timeslice,commodity,region,supply,units_prices,year
"('winter', 'all-week', 'night')",electricity,Kenya,41.66810000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'day')",electricity,Kenya,42.48070000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'night')",electricity,Kenya,48.16620000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'day')",electricity,Kenya,48.74900000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'night')",electricity,Kenya,39.45010000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'day')",electricity,Kenya,39.76560000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'night')",electricity,Kenya,45.75360000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'day')",electricity,Kenya,45.64280000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'night')",electricity,Kenya,58.22720000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'day')",electricity,Kenya,58.71480000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'night')",electricity,Kenya,62.12610000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'day')",electricity,Kenya,62.47570000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'night')",electricity,Kenya,56.89640000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'day')",electricity,Kenya,57.08570000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'night')",electricity,Kenya,60.67850000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'day')",electricity,Kenya,60.61200000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'night')",electricity,Kenya,76.15890000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'day')",electricity,Kenya,76.45140000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'night')",electricity,Kenya,78.49820000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'day')",electricity,Kenya,78.70800000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'night')",electricity,Kenya,75.36040000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'day')",electricity,Kenya,75.47400000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'night')",electricity,Kenya,77.62970000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'day')",electricity,Kenya,77.58980000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'night')",electricity,Kenya,130.41330000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'day')",electricity,Kenya,130.58880000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'night')",electricity,Kenya,131.81690000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'day')",electricity,Kenya,131.94280000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'night')",electricity,Kenya,129.93420000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'day')",electricity,Kenya,130.00230000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'night')",electricity,Kenya,131.29580000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'day')",electricity,Kenya,131.27180000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'night')",electricity,Kenya,178.08810000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'day')",electricity,Kenya,178.69190000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'night')",electricity,Kenya,178.93030000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'day')",electricity,Kenya,179.12470000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'night')",electricity,Kenya,178.41870000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'day')",electricity,Kenya,177.96040000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'night')",electricity,Kenya,179.19940000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'day')",electricity,Kenya,177.70800000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'night')",electricity,Kenya,229.91590000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'day')",electricity,Kenya,231.04200000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'night')",electricity,Kenya,230.42120000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'day')",electricity,Kenya,230.71990000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'night')",electricity,Kenya,231.06130000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'day')",electricity,Kenya,230.02140000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'night')",electricity,Kenya,231.47430000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'day')",electricity,Kenya,228.31580000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'night')",electricity,Kenya,273.32770000000,MUS$2020/PJ,2050
"('winter', 'all-week', 'day')",electricity,Kenya,275.45590000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'night')",electricity,Kenya,273.63080000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'day')",electricity,Kenya,274.15650000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'night')",electricity,Kenya,275.81590000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'day')",electricity,Kenya,273.73740000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'night')",electricity,Kenya,275.95830000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'day')",electricity,Kenya,269.75840000000,MUS$2020/PJ,2050
