timeslice,commodity,region,supply,units_prices,year
"('winter', 'all-week', 'night')",electricity,Kenya,41.66810000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'day')",electricity,Kenya,42.48070000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'night')",electricity,Kenya,48.16620000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'day')",electricity,Kenya,48.74900000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'night')",electricity,Kenya,39.45010000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'day')",electricity,Kenya,39.76560000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'night')",electricity,Kenya,45.75360000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'day')",electricity,Kenya,45.64280000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'night')",electricity,Kenya,80.24650000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'day')",electricity,Kenya,80.81530000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'night')",electricity,Kenya,84.79520000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'day')",electricity,Kenya,85.20310000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'night')",electricity,Kenya,78.69390000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'day')",electricity,Kenya,78.91470000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'night')",electricity,Kenya,83.10630000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'day')",electricity,Kenya,83.02880000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'night')",electricity,Kenya,103.03690000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'day')",electricity,Kenya,103.43510000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'night')",electricity,Kenya,106.22100000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'day')",electricity,Kenya,106.50660000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'night')",electricity,Kenya,101.95010000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'day')",electricity,Kenya,102.10470000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'night')",electricity,Kenya,105.03880000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'day')",electricity,Kenya,104.98450000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'night')",electricity,Kenya,153.41280000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'day')",electricity,Kenya,153.69160000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'night')",electricity,Kenya,155.64170000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'day')",electricity,Kenya,155.84160000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'night')",electricity,Kenya,152.65210000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'day')",electricity,Kenya,152.76030000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'night')",electricity,Kenya,154.81420000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'day')",electricity,Kenya,154.77620000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'night')",electricity,Kenya,198.99760000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'day')",electricity,Kenya,199.19270000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'night')",electricity,Kenya,200.55780000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'day')",electricity,Kenya,200.69780000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'night')",electricity,Kenya,198.46510000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'day')",electricity,Kenya,198.54080000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'night')",electricity,Kenya,199.97860000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'day')",electricity,Kenya,199.95200000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'night')",electricity,Kenya,279.02920000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'day')",electricity,Kenya,279.16570000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'night')",electricity,Kenya,280.12130000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'day')",electricity,Kenya,280.21930000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'night')",electricity,Kenya,278.65640000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'day')",electricity,Kenya,278.70940000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'night')",electricity,Kenya,279.71580000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'day')",electricity,Kenya,279.69720000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'night')",electricity,Kenya,352.80170000000,MUS$2020/PJ,2050
"('winter', 'all-week', 'day')",electricity,Kenya,352.89730000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'night')",electricity,Kenya,353.56620000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'day')",electricity,Kenya,353.63480000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'night')",electricity,Kenya,352.54080000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'day')",electricity,Kenya,352.57790000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'night')",electricity,Kenya,353.28240000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'day')",electricity,Kenya,353.26940000000,MUS$2020/PJ,2050
