timeslice,commodity,region,supply,units_prices,year
"('winter', 'all-week', 'night')",electricity,Kenya,41.66810000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'day')",electricity,Kenya,42.48070000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'night')",electricity,Kenya,48.16620000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'day')",electricity,Kenya,48.74900000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'night')",electricity,Kenya,39.45010000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'day')",electricity,Kenya,39.76560000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'night')",electricity,Kenya,45.75360000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'day')",electricity,Kenya,45.64280000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'night')",electricity,Kenya,58.22720000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'day')",electricity,Kenya,58.71480000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'night')",electricity,Kenya,62.12610000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'day')",electricity,Kenya,62.47570000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'night')",electricity,Kenya,56.89640000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'day')",electricity,Kenya,57.08570000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'night')",electricity,Kenya,60.67850000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'day')",electricity,Kenya,60.61200000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'night')",electricity,Kenya,76.15890000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'day')",electricity,Kenya,76.45140000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'night')",electricity,Kenya,78.49820000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'day')",electricity,Kenya,78.70800000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'night')",electricity,Kenya,75.36040000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'day')",electricity,Kenya,75.47400000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'night')",electricity,Kenya,77.62970000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'day')",electricity,Kenya,77.58980000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'night')",electricity,Kenya,130.18090000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'day')",electricity,Kenya,130.35640000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'night')",electricity,Kenya,131.58450000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'day')",electricity,Kenya,131.71040000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'night')",electricity,Kenya,129.70180000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'day')",electricity,Kenya,129.76990000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'night')",electricity,Kenya,131.06340000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'day')",electricity,Kenya,131.03940000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'night')",electricity,Kenya,178.75070000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'day')",electricity,Kenya,178.85610000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'night')",electricity,Kenya,179.59290000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'day')",electricity,Kenya,179.66840000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'night')",electricity,Kenya,178.46330000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'day')",electricity,Kenya,178.50420000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'night')",electricity,Kenya,179.28020000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'day')",electricity,Kenya,179.26590000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'night')",electricity,Kenya,227.73220000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'day')",electricity,Kenya,227.79540000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'night')",electricity,Kenya,228.23750000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'day')",electricity,Kenya,228.28280000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'night')",electricity,Kenya,227.55970000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'day')",electricity,Kenya,227.58430000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'night')",electricity,Kenya,228.04990000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'day')",electricity,Kenya,228.04130000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'night')",electricity,Kenya,276.39540000000,MUS$2020/PJ,2050
"('winter', 'all-week', 'day')",electricity,Kenya,276.43340000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'night')",electricity,Kenya,276.69860000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'day')",electricity,Kenya,276.72580000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'night')",electricity,Kenya,276.29200000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'day')",electricity,Kenya,276.30670000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'night')",electricity,Kenya,276.58610000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'day')",electricity,Kenya,276.58090000000,MUS$2020/PJ,2050
