technology,dst_region,region,agent,sector,type,year,capacity
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2020,2.83820000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2020,13.21360000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2020,15.73650000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2020,9.06660000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2020,7.84620000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2020,14.09660000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2020,9.77620000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2020,1.19330000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2020,0.75690000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2025,1.70290000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2025,44.73990000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2025,28.03590000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2025,70.86420000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2025,90.58570000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2025,5.44000000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2025,56.12870000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2025,6.28510000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2025,8.45800000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2025,5.86570000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2025,81.14380000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2025,8.65910000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2025,6.16690000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2030,1.02180000000
