timeslice,commodity,region,supply,units_prices,year
"('winter', 'all-week', 'night')",electricity,Kenya,41.66810000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'day')",electricity,Kenya,42.48070000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'night')",electricity,Kenya,48.16620000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'day')",electricity,Kenya,48.74900000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'night')",electricity,Kenya,39.45010000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'day')",electricity,Kenya,39.76560000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'night')",electricity,Kenya,45.75360000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'day')",electricity,Kenya,45.64280000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'night')",electricity,Kenya,164.99660000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'day')",electricity,Kenya,200.13020000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'night')",electricity,Kenya,228.04990000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'day')",electricity,Kenya,262.21630000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'night')",electricity,Kenya,143.43750000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'day')",electricity,Kenya,177.30590000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'night')",electricity,Kenya,202.39970000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'day')",electricity,Kenya,236.46230000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'night')",electricity,Kenya,311.62310000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'day')",electricity,Kenya,393.39250000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'night')",electricity,Kenya,413.75740000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'day')",electricity,Kenya,494.42640000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'night')",electricity,Kenya,275.24220000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'day')",electricity,Kenya,355.46960000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'night')",electricity,Kenya,372.15220000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'day')",electricity,Kenya,452.34410000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'night')",electricity,Kenya,411.85320000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'day')",electricity,Kenya,539.19280000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'night')",electricity,Kenya,546.29440000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'day')",electricity,Kenya,672.23510000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'night')",electricity,Kenya,363.66990000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'day')",electricity,Kenya,489.16610000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'night')",electricity,Kenya,491.41410000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'day')",electricity,Kenya,617.02670000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'night')",electricity,Kenya,605.36940000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'day')",electricity,Kenya,804.57160000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'night')",electricity,Kenya,793.70140000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'day')",electricity,Kenya,988.35170000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'night')",electricity,Kenya,547.98070000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'day')",electricity,Kenya,740.66850000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'night')",electricity,Kenya,718.01070000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'day')",electricity,Kenya,911.38060000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'night')",electricity,Kenya,746.29040000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'day')",electricity,Kenya,1021.46520000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'night')",electricity,Kenya,987.05910000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'day')",electricity,Kenya,1254.89210000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'night')",electricity,Kenya,679.19230000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'day')",electricity,Kenya,943.58660000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'night')",electricity,Kenya,891.10020000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'day')",electricity,Kenya,1156.50560000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'night')",electricity,Kenya,862.83330000000,MUS$2020/PJ,2050
"('winter', 'all-week', 'day')",electricity,Kenya,1208.21620000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'night')",electricity,Kenya,1176.07030000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'day')",electricity,Kenya,1511.28210000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'night')",electricity,Kenya,777.45190000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'day')",electricity,Kenya,1107.77270000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'night')",electricity,Kenya,1051.62230000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'day')",electricity,Kenya,1383.05190000000,MUS$2020/PJ,2050
