asset,year,region,installed,technology,capacity
0,2030,Kenya,2020,Biomass Power Plant,8.72400000000
0,2035,Kenya,2020,Biomass Power Plant,8.31530000000
0,2040,Kenya,2020,Biomass Power Plant,8.07010000000
0,2045,Kenya,2020,Biomass Power Plant,7.92300000000
0,2048,Kenya,2020,Biomass Power Plant,7.87000000000
0,2049,Kenya,2020,Biomass Power Plant,7.85230000000
0,2050,Kenya,2020,Biomass Power Plant,7.83470000000
0,2053,Kenya,2020,Biomass Power Plant,7.73540000000
0,2054,Kenya,2020,Biomass Power Plant,7.70230000000
1,2030,Kenya,2020,CSP with Storage,66.68810000000
1,2035,Kenya,2020,CSP with Storage,66.68810000000
1,2040,Kenya,2020,CSP with Storage,66.68810000000
1,2045,Kenya,2020,CSP with Storage,66.68810000000
1,2048,Kenya,2020,CSP with Storage,66.68810000000
1,2049,Kenya,2020,CSP with Storage,66.68810000000
1,2050,Kenya,2020,CSP with Storage,66.68810000000
1,2053,Kenya,2020,CSP with Storage,66.68810000000
1,2054,Kenya,2020,CSP with Storage,66.68810000000
2,2030,Kenya,2020,CSP without Storage,40.21230000000
2,2035,Kenya,2020,CSP without Storage,40.21230000000
2,2040,Kenya,2020,CSP without Storage,40.21230000000
2,2045,Kenya,2020,CSP without Storage,40.21230000000
2,2048,Kenya,2020,CSP without Storage,40.21230000000
2,2049,Kenya,2020,CSP without Storage,40.21230000000
2,2050,Kenya,2020,CSP without Storage,40.21230000000
2,2053,Kenya,2020,CSP without Storage,40.21230000000
2,2054,Kenya,2020,CSP without Storage,40.21230000000
3,2030,Kenya,2020,Geothermal Power Plant,73.19600000000
3,2035,Kenya,2020,Geothermal Power Plant,71.29330000000
3,2040,Kenya,2020,Geothermal Power Plant,70.15160000000
3,2045,Kenya,2020,Geothermal Power Plant,69.46660000000
3,2048,Kenya,2020,Geothermal Power Plant,69.22000000000
3,2049,Kenya,2020,Geothermal Power Plant,69.13780000000
3,2050,Kenya,2020,Geothermal Power Plant,0.61650000000
3,2053,Kenya,2020,Geothermal Power Plant,0.15410000000
4,2030,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),63.41970000000
4,2035,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),61.15360000000
4,2040,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),59.79400000000
4,2045,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),58.97820000000
4,2048,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),58.68450000000
4,2049,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),58.58660000000
4,2050,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),58.48870000000
4,2053,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),57.93810000000
4,2054,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),57.75450000000
4,2055,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),57.75450000000
4,2058,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),57.75450000000
4,2059,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),57.75450000000
4,2060,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),57.75450000000
4,2064,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),57.75450000000
4,2065,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),57.75450000000
4,2074,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),57.75450000000
5,2030,Kenya,2020,Light Fuel Oil Power Plant,3.26400000000
5,2035,Kenya,2020,Light Fuel Oil Power Plant,1.95840000000
5,2040,Kenya,2020,Light Fuel Oil Power Plant,1.17500000000
5,2045,Kenya,2020,Light Fuel Oil Power Plant,0.70500000000
5,2048,Kenya,2020,Light Fuel Oil Power Plant,0.53580000000
5,2049,Kenya,2020,Light Fuel Oil Power Plant,0.47940000000
5,2050,Kenya,2020,Light Fuel Oil Power Plant,0.42300000000
5,2053,Kenya,2020,Light Fuel Oil Power Plant,0.10580000000
6,2030,Kenya,2020,Medium Hydropower Plant (10-100MW),66.07010000000
6,2035,Kenya,2020,Medium Hydropower Plant (10-100MW),64.94030000000
6,2040,Kenya,2020,Medium Hydropower Plant (10-100MW),64.26240000000
6,2045,Kenya,2020,Medium Hydropower Plant (10-100MW),63.85560000000
6,2048,Kenya,2020,Medium Hydropower Plant (10-100MW),63.70920000000
6,2049,Kenya,2020,Medium Hydropower Plant (10-100MW),63.66040000000
6,2050,Kenya,2020,Medium Hydropower Plant (10-100MW),63.61160000000
6,2053,Kenya,2020,Medium Hydropower Plant (10-100MW),63.33700000000
6,2054,Kenya,2020,Medium Hydropower Plant (10-100MW),63.24550000000
6,2055,Kenya,2020,Medium Hydropower Plant (10-100MW),63.24550000000
6,2058,Kenya,2020,Medium Hydropower Plant (10-100MW),63.24550000000
6,2059,Kenya,2020,Medium Hydropower Plant (10-100MW),63.24550000000
6,2060,Kenya,2020,Medium Hydropower Plant (10-100MW),63.24550000000
6,2064,Kenya,2020,Medium Hydropower Plant (10-100MW),63.24550000000
6,2065,Kenya,2020,Medium Hydropower Plant (10-100MW),63.24550000000
6,2074,Kenya,2020,Medium Hydropower Plant (10-100MW),63.24550000000
7,2030,Kenya,2020,Offshore Wind,4.05130000000
7,2035,Kenya,2020,Offshore Wind,4.05130000000
7,2040,Kenya,2020,Offshore Wind,4.05130000000
7,2045,Kenya,2020,Offshore Wind,4.05130000000
7,2048,Kenya,2020,Offshore Wind,4.05130000000
7,2049,Kenya,2020,Offshore Wind,4.05130000000
8,2030,Kenya,2020,Oil Fired Gas Turbine (SCGT),5.07480000000
8,2035,Kenya,2020,Oil Fired Gas Turbine (SCGT),3.04490000000
8,2040,Kenya,2020,Oil Fired Gas Turbine (SCGT),1.82690000000
8,2045,Kenya,2020,Oil Fired Gas Turbine (SCGT),1.09620000000
8,2048,Kenya,2020,Oil Fired Gas Turbine (SCGT),0.83310000000
8,2049,Kenya,2020,Oil Fired Gas Turbine (SCGT),0.74540000000
