asset,year,region,technology,installed,capacity
0,2040,Kenya,Biomass Power Plant,2020,8.07010000000
0,2045,Kenya,Biomass Power Plant,2020,7.92300000000
0,2048,Kenya,Biomass Power Plant,2020,7.87000000000
0,2049,Kenya,Biomass Power Plant,2020,7.85230000000
0,2050,Kenya,Biomass Power Plant,2020,7.83470000000
0,2053,Kenya,Biomass Power Plant,2020,7.73540000000
0,2054,Kenya,Biomass Power Plant,2020,7.70230000000
1,2040,Kenya,Biomass Power Plant,2025,97.23340000000
1,2045,Kenya,Biomass Power Plant,2025,97.23340000000
1,2048,Kenya,Biomass Power Plant,2025,97.23340000000
1,2049,Kenya,Biomass Power Plant,2025,97.23340000000
1,2050,Kenya,Biomass Power Plant,2025,97.23340000000
1,2053,Kenya,Biomass Power Plant,2025,97.23340000000
1,2054,Kenya,Biomass Power Plant,2025,97.23340000000
1,2055,Kenya,Biomass Power Plant,2025,97.23340000000
1,2058,Kenya,Biomass Power Plant,2025,97.23340000000
1,2059,Kenya,Biomass Power Plant,2025,97.23340000000
2,2040,Kenya,Biomass Power Plant,2035,44.16440000000
2,2045,Kenya,Biomass Power Plant,2035,44.16440000000
2,2048,Kenya,Biomass Power Plant,2035,44.16440000000
2,2049,Kenya,Biomass Power Plant,2035,44.16440000000
2,2050,Kenya,Biomass Power Plant,2035,44.16440000000
2,2053,Kenya,Biomass Power Plant,2035,44.16440000000
2,2054,Kenya,Biomass Power Plant,2035,44.16440000000
2,2055,Kenya,Biomass Power Plant,2035,44.16440000000
2,2058,Kenya,Biomass Power Plant,2035,44.16440000000
2,2059,Kenya,Biomass Power Plant,2035,44.16440000000
2,2060,Kenya,Biomass Power Plant,2035,44.16440000000
2,2063,Kenya,Biomass Power Plant,2035,44.16440000000
2,2064,Kenya,Biomass Power Plant,2035,44.16440000000
2,2065,Kenya,Biomass Power Plant,2035,44.16440000000
2,2068,Kenya,Biomass Power Plant,2035,44.16440000000
2,2069,Kenya,Biomass Power Plant,2035,44.16440000000
3,2045,Kenya,Biomass Power Plant,2040,79.53060000000
3,2048,Kenya,Biomass Power Plant,2040,79.53060000000
3,2049,Kenya,Biomass Power Plant,2040,79.53060000000
3,2050,Kenya,Biomass Power Plant,2040,79.53060000000
3,2053,Kenya,Biomass Power Plant,2040,79.53060000000
3,2054,Kenya,Biomass Power Plant,2040,79.53060000000
3,2055,Kenya,Biomass Power Plant,2040,79.53060000000
3,2058,Kenya,Biomass Power Plant,2040,79.53060000000
3,2059,Kenya,Biomass Power Plant,2040,79.53060000000
3,2060,Kenya,Biomass Power Plant,2040,79.53060000000
3,2063,Kenya,Biomass Power Plant,2040,79.53060000000
3,2064,Kenya,Biomass Power Plant,2040,79.53060000000
3,2065,Kenya,Biomass Power Plant,2040,79.53060000000
3,2068,Kenya,Biomass Power Plant,2040,79.53060000000
3,2069,Kenya,Biomass Power Plant,2040,79.53060000000
3,2070,Kenya,Biomass Power Plant,2040,79.53060000000
3,2074,Kenya,Biomass Power Plant,2040,79.53060000000
4,2040,Kenya,CSP with Storage,2020,66.68810000000
4,2045,Kenya,CSP with Storage,2020,66.68810000000
4,2048,Kenya,CSP with Storage,2020,66.68810000000
4,2049,Kenya,CSP with Storage,2020,66.68810000000
4,2050,Kenya,CSP with Storage,2020,66.68810000000
4,2053,Kenya,CSP with Storage,2020,66.68810000000
4,2054,Kenya,CSP with Storage,2020,66.68810000000
5,2040,Kenya,CSP with Storage,2025,60.92190000000
5,2045,Kenya,CSP with Storage,2025,60.92190000000
5,2048,Kenya,CSP with Storage,2025,60.92190000000
5,2049,Kenya,CSP with Storage,2025,60.92190000000
5,2050,Kenya,CSP with Storage,2025,60.92190000000
5,2053,Kenya,CSP with Storage,2025,60.92190000000
5,2054,Kenya,CSP with Storage,2025,60.92190000000
5,2055,Kenya,CSP with Storage,2025,60.92190000000
5,2058,Kenya,CSP with Storage,2025,60.92190000000
5,2059,Kenya,CSP with Storage,2025,60.92190000000
6,2040,Kenya,CSP with Storage,2030,80.55940000000
6,2045,Kenya,CSP with Storage,2030,80.55940000000
6,2048,Kenya,CSP with Storage,2030,80.55940000000
6,2049,Kenya,CSP with Storage,2030,80.55940000000
6,2050,Kenya,CSP with Storage,2030,80.55940000000
6,2053,Kenya,CSP with Storage,2030,80.55940000000
6,2054,Kenya,CSP with Storage,2030,80.55940000000
6,2055,Kenya,CSP with Storage,2030,80.55940000000
6,2058,Kenya,CSP with Storage,2030,80.55940000000
6,2059,Kenya,CSP with Storage,2030,80.55940000000
6,2060,Kenya,CSP with Storage,2030,80.55940000000
6,2063,Kenya,CSP with Storage,2030,80.55940000000
6,2064,Kenya,CSP with Storage,2030,80.55940000000
7,2040,Kenya,CSP with Storage,2035,69.88140000000
7,2045,Kenya,CSP with Storage,2035,69.88140000000
7,2048,Kenya,CSP with Storage,2035,69.88140000000
7,2049,Kenya,CSP with Storage,2035,69.88140000000
7,2050,Kenya,CSP with Storage,2035,69.88140000000
7,2053,Kenya,CSP with Storage,2035,69.88140000000
7,2054,Kenya,CSP with Storage,2035,69.88140000000
7,2055,Kenya,CSP with Storage,2035,69.88140000000
7,2058,Kenya,CSP with Storage,2035,69.88140000000
7,2059,Kenya,CSP with Storage,2035,69.88140000000
7,2060,Kenya,CSP with Storage,2035,69.88140000000
7,2063,Kenya,CSP with Storage,2035,69.88140000000
7,2064,Kenya,CSP with Storage,2035,69.88140000000
7,2065,Kenya,CSP with Storage,2035,69.88140000000
7,2068,Kenya,CSP with Storage,2035,69.88140000000
7,2069,Kenya,CSP with Storage,2035,69.88140000000
8,2045,Kenya,CSP with Storage,2040,67.35230000000
8,2048,Kenya,CSP with Storage,2040,67.35230000000
8,2049,Kenya,CSP with Storage,2040,67.35230000000
8,2050,Kenya,CSP with Storage,2040,67.35230000000
8,2053,Kenya,CSP with Storage,2040,67.35230000000
8,2054,Kenya,CSP with Storage,2040,67.35230000000
8,2055,Kenya,CSP with Storage,2040,67.35230000000
8,2058,Kenya,CSP with Storage,2040,67.35230000000
8,2059,Kenya,CSP with Storage,2040,67.35230000000
8,2060,Kenya,CSP with Storage,2040,67.35230000000
8,2063,Kenya,CSP with Storage,2040,67.35230000000
8,2064,Kenya,CSP with Storage,2040,67.35230000000
8,2065,Kenya,CSP with Storage,2040,67.35230000000
8,2068,Kenya,CSP with Storage,2040,67.35230000000
8,2069,Kenya,CSP with Storage,2040,67.35230000000
8,2070,Kenya,CSP with Storage,2040,67.35230000000
8,2074,Kenya,CSP with Storage,2040,67.35230000000
9,2040,Kenya,CSP without Storage,2020,40.21230000000
9,2045,Kenya,CSP without Storage,2020,40.21230000000
9,2048,Kenya,CSP without Storage,2020,40.21230000000
9,2049,Kenya,CSP without Storage,2020,40.21230000000
9,2050,Kenya,CSP without Storage,2020,40.21230000000
9,2053,Kenya,CSP without Storage,2020,40.21230000000
9,2054,Kenya,CSP without Storage,2020,40.21230000000
10,2045,Kenya,CSP without Storage,2040,48.98960000000
10,2048,Kenya,CSP without Storage,2040,48.98960000000
10,2049,Kenya,CSP without Storage,2040,48.98960000000
10,2050,Kenya,CSP without Storage,2040,48.98960000000
10,2053,Kenya,CSP without Storage,2040,48.98960000000
10,2054,Kenya,CSP without Storage,2040,48.98960000000
10,2055,Kenya,CSP without Storage,2040,48.98960000000
10,2058,Kenya,CSP without Storage,2040,48.98960000000
10,2059,Kenya,CSP without Storage,2040,48.98960000000
10,2060,Kenya,CSP without Storage,2040,48.98960000000
10,2063,Kenya,CSP without Storage,2040,48.98960000000
10,2064,Kenya,CSP without Storage,2040,48.98960000000
10,2065,Kenya,CSP without Storage,2040,48.98960000000
10,2068,Kenya,CSP without Storage,2040,48.98960000000
10,2069,Kenya,CSP without Storage,2040,48.98960000000
10,2070,Kenya,CSP without Storage,2040,48.98960000000
10,2074,Kenya,CSP without Storage,2040,48.98960000000
11,2040,Kenya,Geothermal Power Plant,2020,70.15160000000
11,2045,Kenya,Geothermal Power Plant,2020,69.46660000000
11,2048,Kenya,Geothermal Power Plant,2020,69.22000000000
11,2049,Kenya,Geothermal Power Plant,2020,69.13780000000
11,2050,Kenya,Geothermal Power Plant,2020,0.61650000000
11,2053,Kenya,Geothermal Power Plant,2020,0.15410000000
12,2040,Kenya,Geothermal Power Plant,2025,99.81920000000
12,2045,Kenya,Geothermal Power Plant,2025,99.81920000000
12,2048,Kenya,Geothermal Power Plant,2025,99.81920000000
12,2049,Kenya,Geothermal Power Plant,2025,99.81920000000
12,2050,Kenya,Geothermal Power Plant,2025,99.81920000000
12,2053,Kenya,Geothermal Power Plant,2025,99.81920000000
12,2054,Kenya,Geothermal Power Plant,2025,99.81920000000
13,2040,Kenya,Geothermal Power Plant,2030,65.97510000000
13,2045,Kenya,Geothermal Power Plant,2030,65.97510000000
13,2048,Kenya,Geothermal Power Plant,2030,65.97510000000
13,2049,Kenya,Geothermal Power Plant,2030,65.97510000000
13,2050,Kenya,Geothermal Power Plant,2030,65.97510000000
13,2053,Kenya,Geothermal Power Plant,2030,65.97510000000
