timeslice,commodity,region,supply,units_prices,year
"('winter', 'all-week', 'night')",electricity,Kenya-edited,41.66810000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'day')",electricity,Kenya-edited,42.48070000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'night')",electricity,Kenya-edited,48.16620000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'day')",electricity,Kenya-edited,48.74900000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'night')",electricity,Kenya-edited,39.45010000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'day')",electricity,Kenya-edited,39.76560000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'night')",electricity,Kenya-edited,45.75360000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'day')",electricity,Kenya-edited,45.64280000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'night')",electricity,Kenya-edited,58.14560000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'day')",electricity,Kenya-edited,58.71440000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'night')",electricity,Kenya-edited,62.69430000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'day')",electricity,Kenya-edited,63.10220000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'night')",electricity,Kenya-edited,56.59300000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'day')",electricity,Kenya-edited,56.81380000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'night')",electricity,Kenya-edited,61.00540000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'day')",electricity,Kenya-edited,60.92790000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'night')",electricity,Kenya-edited,76.39880000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'day')",electricity,Kenya-edited,76.79700000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'night')",electricity,Kenya-edited,79.58290000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'day')",electricity,Kenya-edited,79.86840000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'night')",electricity,Kenya-edited,75.31200000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'day')",electricity,Kenya-edited,75.46660000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'night')",electricity,Kenya-edited,78.40070000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'day')",electricity,Kenya-edited,78.34640000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'night')",electricity,Kenya-edited,131.25060000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'day')",electricity,Kenya-edited,131.52930000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'night')",electricity,Kenya-edited,133.47940000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'day')",electricity,Kenya-edited,133.67930000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'night')",electricity,Kenya-edited,130.48980000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'day')",electricity,Kenya-edited,130.59800000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'night')",electricity,Kenya-edited,132.65190000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'day')",electricity,Kenya-edited,132.61390000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'night')",electricity,Kenya-edited,177.91140000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'day')",electricity,Kenya-edited,178.10650000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'night')",electricity,Kenya-edited,179.47160000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'day')",electricity,Kenya-edited,179.61150000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'night')",electricity,Kenya-edited,177.37880000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'day')",electricity,Kenya-edited,177.45460000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'night')",electricity,Kenya-edited,178.89230000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'day')",electricity,Kenya-edited,178.86570000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'night')",electricity,Kenya-edited,227.42910000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'day')",electricity,Kenya-edited,227.56570000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'night')",electricity,Kenya-edited,228.52130000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'day')",electricity,Kenya-edited,228.61920000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'night')",electricity,Kenya-edited,227.05640000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'day')",electricity,Kenya-edited,227.10940000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'night')",electricity,Kenya-edited,228.11580000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'day')",electricity,Kenya-edited,228.09720000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'night')",electricity,Kenya-edited,270.28830000000,MUS$2020/PJ,2050
"('winter', 'all-week', 'day')",electricity,Kenya-edited,270.38390000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'night')",electricity,Kenya-edited,271.05280000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'day')",electricity,Kenya-edited,271.12130000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'night')",electricity,Kenya-edited,270.02730000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'day')",electricity,Kenya-edited,270.06440000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'night')",electricity,Kenya-edited,270.76890000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'day')",electricity,Kenya-edited,270.75590000000,MUS$2020/PJ,2050
