timeslice,commodity,region,supply,units_prices,year
"('winter', 'all-week', 'night')",electricity,Kenya,43.64340000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'day')",electricity,Kenya,44.45600000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'night')",electricity,Kenya,43.63680000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'day')",electricity,Kenya,44.21950000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'night')",electricity,Kenya,43.91810000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'day')",electricity,Kenya,44.23360000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'night')",electricity,Kenya,43.90360000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'day')",electricity,Kenya,43.79280000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'night')",electricity,Kenya,60.31680000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'day')",electricity,Kenya,61.11310000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'night')",electricity,Kenya,60.31030000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'day')",electricity,Kenya,60.88140000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'night')",electricity,Kenya,60.58600000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'day')",electricity,Kenya,60.89520000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'night')",electricity,Kenya,60.57180000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'day')",electricity,Kenya,60.46320000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'night')",electricity,Kenya,90.58890000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'day')",electricity,Kenya,91.36930000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'night')",electricity,Kenya,90.58260000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'day')",electricity,Kenya,91.14220000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'night')",electricity,Kenya,90.85270000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'day')",electricity,Kenya,91.15570000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'night')",electricity,Kenya,90.83880000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'day')",electricity,Kenya,90.73240000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'night')",electricity,Kenya,143.51840000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'day')",electricity,Kenya,144.28320000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'night')",electricity,Kenya,143.51220000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'day')",electricity,Kenya,144.06070000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'night')",electricity,Kenya,143.77700000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'day')",electricity,Kenya,144.07390000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'night')",electricity,Kenya,143.76330000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'day')",electricity,Kenya,143.65900000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'night')",electricity,Kenya,195.99820000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'day')",electricity,Kenya,196.74780000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'night')",electricity,Kenya,195.99220000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'day')",electricity,Kenya,196.52970000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'night')",electricity,Kenya,196.25160000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'day')",electricity,Kenya,196.54260000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'night')",electricity,Kenya,196.23820000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'day')",electricity,Kenya,196.13610000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'night')",electricity,Kenya,248.49870000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'day')",electricity,Kenya,249.23320000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'night')",electricity,Kenya,248.49270000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'day')",electricity,Kenya,249.01950000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'night')",electricity,Kenya,248.74700000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'day')",electricity,Kenya,249.03210000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'night')",electricity,Kenya,248.73390000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'day')",electricity,Kenya,248.63370000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'night')",electricity,Kenya,300.99870000000,MUS$2020/PJ,2050
"('winter', 'all-week', 'day')",electricity,Kenya,301.71850000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'night')",electricity,Kenya,300.99290000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'day')",electricity,Kenya,301.50910000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'night')",electricity,Kenya,301.24200000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'day')",electricity,Kenya,301.52150000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'night')",electricity,Kenya,301.22920000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'day')",electricity,Kenya,301.13100000000,MUS$2020/PJ,2050
