asset,year,region,technology,installed,capacity
0,2035,Kenya,Biomass Power Plant,2020,2.67130000000
0,2039,Kenya,Biomass Power Plant,2020,2.62860000000
0,2040,Kenya,Biomass Power Plant,2020,2.61790000000
0,2044,Kenya,Biomass Power Plant,2020,2.57600000000
0,2045,Kenya,Biomass Power Plant,2020,2.56550000000
14,2035,Kenya,Coal Power Plant,2030,0.00050000000
14,2039,Kenya,Coal Power Plant,2030,0.00050000000
14,2040,Kenya,Coal Power Plant,2030,0.00050000000
14,2044,Kenya,Coal Power Plant,2030,0.00050000000
14,2045,Kenya,Coal Power Plant,2030,0.00050000000
14,2048,Kenya,Coal Power Plant,2030,0.00050000000
14,2049,Kenya,Coal Power Plant,2030,0.00050000000
14,2050,Kenya,Coal Power Plant,2030,0.00050000000
14,2053,Kenya,Coal Power Plant,2030,0.00050000000
14,2054,Kenya,Coal Power Plant,2030,0.00050000000
14,2055,Kenya,Coal Power Plant,2030,0.00050000000
14,2058,Kenya,Coal Power Plant,2030,0.00050000000
14,2059,Kenya,Coal Power Plant,2030,0.00050000000
14,2060,Kenya,Coal Power Plant,2030,0.00050000000
14,2063,Kenya,Coal Power Plant,2030,0.00050000000
14,2064,Kenya,Coal Power Plant,2030,0.00050000000
14,2065,Kenya,Coal Power Plant,2030,0.00050000000
14,2069,Kenya,Coal Power Plant,2030,0.00050000000
15,2040,Kenya,Coal Power Plant,2035,1.25850000000
15,2044,Kenya,Coal Power Plant,2035,1.25850000000
15,2045,Kenya,Coal Power Plant,2035,1.25850000000
15,2048,Kenya,Coal Power Plant,2035,1.25850000000
15,2049,Kenya,Coal Power Plant,2035,1.25850000000
15,2050,Kenya,Coal Power Plant,2035,1.25850000000
15,2053,Kenya,Coal Power Plant,2035,1.25850000000
15,2054,Kenya,Coal Power Plant,2035,1.25850000000
15,2055,Kenya,Coal Power Plant,2035,1.25850000000
15,2058,Kenya,Coal Power Plant,2035,1.25850000000
15,2059,Kenya,Coal Power Plant,2035,1.25850000000
15,2060,Kenya,Coal Power Plant,2035,1.25850000000
15,2063,Kenya,Coal Power Plant,2035,1.25850000000
15,2064,Kenya,Coal Power Plant,2035,1.25850000000
15,2065,Kenya,Coal Power Plant,2035,1.25850000000
15,2069,Kenya,Coal Power Plant,2035,1.25850000000
15,2070,Kenya,Coal Power Plant,2035,1.25850000000
15,2074,Kenya,Coal Power Plant,2035,1.25850000000
18,2035,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2039,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2040,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2044,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2045,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2048,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2049,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2050,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2053,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2054,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2055,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2058,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2059,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2060,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2063,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
18,2064,Kenya,Gas Power Plant (CCGT),2030,0.00040000000
19,2040,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2044,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2045,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2048,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2049,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2050,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2053,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2054,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2055,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2058,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2059,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2060,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2063,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2064,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2065,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
19,2069,Kenya,Gas Power Plant (CCGT),2035,0.98260000000
22,2035,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
22,2039,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
22,2040,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
22,2044,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
22,2045,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
22,2048,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
22,2049,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
22,2050,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
22,2053,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
22,2054,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
22,2055,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
22,2058,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
22,2059,Kenya,Gas Power Plant (SCGT),2030,0.00080000000
23,2040,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2044,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2045,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2048,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2049,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2050,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2053,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2054,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2055,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2058,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2059,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2060,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2063,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
23,2064,Kenya,Gas Power Plant (SCGT),2035,2.04970000000
24,2035,Kenya,Geothermal Power Plant,2020,112.84710000000
24,2039,Kenya,Geothermal Power Plant,2020,112.64810000000
24,2040,Kenya,Geothermal Power Plant,2020,112.59840000000
24,2044,Kenya,Geothermal Power Plant,2020,112.40330000000
24,2045,Kenya,Geothermal Power Plant,2020,112.35460000000
24,2048,Kenya,Geothermal Power Plant,2020,100.41060000000
24,2049,Kenya,Geothermal Power Plant,2020,100.41060000000
25,2035,Kenya,Geothermal Power Plant,2025,145.01240000000
25,2039,Kenya,Geothermal Power Plant,2025,145.01240000000
25,2040,Kenya,Geothermal Power Plant,2025,145.01240000000
25,2044,Kenya,Geothermal Power Plant,2025,145.01240000000
25,2045,Kenya,Geothermal Power Plant,2025,145.01240000000
25,2048,Kenya,Geothermal Power Plant,2025,145.01240000000
25,2049,Kenya,Geothermal Power Plant,2025,145.01240000000
25,2050,Kenya,Geothermal Power Plant,2025,145.01240000000
25,2053,Kenya,Geothermal Power Plant,2025,145.01240000000
25,2054,Kenya,Geothermal Power Plant,2025,145.01240000000
26,2035,Kenya,Geothermal Power Plant,2030,114.51530000000
26,2039,Kenya,Geothermal Power Plant,2030,114.51530000000
26,2040,Kenya,Geothermal Power Plant,2030,114.51530000000
26,2044,Kenya,Geothermal Power Plant,2030,114.51530000000
26,2045,Kenya,Geothermal Power Plant,2030,114.51530000000
26,2048,Kenya,Geothermal Power Plant,2030,114.51530000000
26,2049,Kenya,Geothermal Power Plant,2030,114.51530000000
26,2050,Kenya,Geothermal Power Plant,2030,114.51530000000
26,2053,Kenya,Geothermal Power Plant,2030,114.51530000000
26,2054,Kenya,Geothermal Power Plant,2030,114.51530000000
26,2055,Kenya,Geothermal Power Plant,2030,114.51530000000
26,2058,Kenya,Geothermal Power Plant,2030,114.51530000000
26,2059,Kenya,Geothermal Power Plant,2030,114.51530000000
27,2040,Kenya,Geothermal Power Plant,2035,57.01470000000
27,2049,Kenya,Geothermal Power Plant,2035,57.01470000000
27,2050,Kenya,Geothermal Power Plant,2035,57.01470000000
27,2063,Kenya,Geothermal Power Plant,2035,57.01470000000
27,2064,Kenya,Geothermal Power Plant,2035,57.01470000000
28,2035,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,14.81100000000
28,2039,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,14.57410000000
28,2040,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,14.51480000000
28,2044,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,14.28260000000
28,2045,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,14.22450000000
32,2035,Kenya,Light Fuel Oil Power Plant,2020,8.53340000000
32,2039,Kenya,Light Fuel Oil Power Plant,2020,8.39690000000
32,2040,Kenya,Light Fuel Oil Power Plant,2020,8.36270000000
32,2044,Kenya,Light Fuel Oil Power Plant,2020,8.22890000000
32,2045,Kenya,Light Fuel Oil Power Plant,2020,8.19550000000
39,2035,Kenya,Medium Hydropower Plant (10-100MW),2020,7.38470000000
39,2039,Kenya,Medium Hydropower Plant (10-100MW),2020,7.26660000000
39,2040,Kenya,Medium Hydropower Plant (10-100MW),2020,7.23700000000
39,2044,Kenya,Medium Hydropower Plant (10-100MW),2020,7.12130000000
39,2045,Kenya,Medium Hydropower Plant (10-100MW),2020,7.09230000000
41,2035,Kenya,Medium Hydropower Plant (10-100MW),2030,59.74040000000
41,2039,Kenya,Medium Hydropower Plant (10-100MW),2030,59.74040000000
41,2040,Kenya,Medium Hydropower Plant (10-100MW),2030,59.74040000000
41,2044,Kenya,Medium Hydropower Plant (10-100MW),2030,59.74040000000
41,2045,Kenya,Medium Hydropower Plant (10-100MW),2030,59.74040000000
41,2048,Kenya,Medium Hydropower Plant (10-100MW),2030,59.74040000000
41,2049,Kenya,Medium Hydropower Plant (10-100MW),2030,59.74040000000
41,2050,Kenya,Medium Hydropower Plant (10-100MW),2030,59.74040000000
41,2053,Kenya,Medium Hydropower Plant (10-100MW),2030,59.74040000000
41,2054,Kenya,Medium Hydropower Plant (10-100MW),2030,59.74040000000
41,2055,Kenya,Medium Hydropower Plant (10-100MW),2030,59.74040000000
