asset,year,region,installed,technology,capacity
0,2050,Kenya,2020,Biomass Power Plant,1.48080000000
0,2053,Kenya,2020,Biomass Power Plant,0.37020000000
6,2050,Kenya,2020,Geothermal Power Plant,6.89400000000
6,2053,Kenya,2020,Geothermal Power Plant,1.72350000000
7,2050,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),8.21030000000
7,2053,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),2.05260000000
8,2050,Kenya,2020,Light Fuel Oil Power Plant,4.73040000000
8,2053,Kenya,2020,Light Fuel Oil Power Plant,1.18260000000
9,2050,Kenya,2020,Medium Hydropower Plant (10-100MW),4.09360000000
9,2053,Kenya,2020,Medium Hydropower Plant (10-100MW),1.02340000000
12,2050,Kenya,2020,Oil Fired Gas Turbine (SCGT),7.35470000000
12,2053,Kenya,2020,Oil Fired Gas Turbine (SCGT),1.83870000000
13,2050,Kenya,2020,Onshore Wind,5.10060000000
13,2053,Kenya,2020,Onshore Wind,1.27510000000
15,2050,Kenya,2020,Solar PV (Distributed with Storage),0.62260000000
15,2053,Kenya,2020,Solar PV (Distributed with Storage),0.15560000000
16,2050,Kenya,2020,Solar PV (Utility),0.39490000000
16,2053,Kenya,2020,Solar PV (Utility),0.09870000000
25,2050,Kenya,2025,Light Fuel Oil Power Plant,298.15210000000
25,2053,Kenya,2025,Light Fuel Oil Power Plant,298.15210000000
25,2054,Kenya,2025,Light Fuel Oil Power Plant,298.15210000000
42,2050,Kenya,2030,Light Fuel Oil Power Plant,297.66190000000
42,2053,Kenya,2030,Light Fuel Oil Power Plant,297.66190000000
42,2054,Kenya,2030,Light Fuel Oil Power Plant,297.66190000000
42,2055,Kenya,2030,Light Fuel Oil Power Plant,297.66190000000
42,2058,Kenya,2030,Light Fuel Oil Power Plant,297.66190000000
42,2059,Kenya,2030,Light Fuel Oil Power Plant,297.66190000000
59,2050,Kenya,2035,Light Fuel Oil Power Plant,297.22070000000
59,2053,Kenya,2035,Light Fuel Oil Power Plant,297.22070000000
59,2054,Kenya,2035,Light Fuel Oil Power Plant,297.22070000000
59,2055,Kenya,2035,Light Fuel Oil Power Plant,297.22070000000
59,2058,Kenya,2035,Light Fuel Oil Power Plant,297.22070000000
59,2059,Kenya,2035,Light Fuel Oil Power Plant,297.22070000000
59,2060,Kenya,2035,Light Fuel Oil Power Plant,297.22070000000
59,2063,Kenya,2035,Light Fuel Oil Power Plant,297.22070000000
59,2064,Kenya,2035,Light Fuel Oil Power Plant,297.22070000000
77,2050,Kenya,2040,Light Fuel Oil Power Plant,296.82360000000
77,2053,Kenya,2040,Light Fuel Oil Power Plant,296.82360000000
77,2054,Kenya,2040,Light Fuel Oil Power Plant,296.82360000000
77,2055,Kenya,2040,Light Fuel Oil Power Plant,296.82360000000
77,2058,Kenya,2040,Light Fuel Oil Power Plant,296.82360000000
77,2059,Kenya,2040,Light Fuel Oil Power Plant,296.82360000000
77,2060,Kenya,2040,Light Fuel Oil Power Plant,296.82360000000
77,2063,Kenya,2040,Light Fuel Oil Power Plant,296.82360000000
77,2064,Kenya,2040,Light Fuel Oil Power Plant,296.82360000000
77,2065,Kenya,2040,Light Fuel Oil Power Plant,296.82360000000
77,2068,Kenya,2040,Light Fuel Oil Power Plant,296.82360000000
77,2069,Kenya,2040,Light Fuel Oil Power Plant,296.82360000000
95,2050,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2053,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2054,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2055,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2058,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2059,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2060,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2063,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2064,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2065,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2068,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2069,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2070,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2073,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
95,2074,Kenya,2045,Light Fuel Oil Power Plant,799.74490000000
113,2055,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2058,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2059,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2060,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2063,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2064,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2065,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2068,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2069,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2070,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2073,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2074,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2075,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2078,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
113,2079,Kenya,2050,Light Fuel Oil Power Plant,327.09860000000
