asset,year,region,technology,installed,capacity
1,2030,Kenya,gasboiler,2025,11.00000000000
1,2034,Kenya,gasboiler,2025,11.00000000000
1,2035,Kenya,gasboiler,2025,11.00000000000
1,2039,Kenya,gasboiler,2025,11.00000000000
2,2035,Kenya,gasboiler,2030,7.10000000000
2,2039,Kenya,gasboiler,2030,1.10000000000
2,2040,Kenya,gasboiler,2030,1.10000000000
2,2044,Kenya,gasboiler,2030,7.10000000000
3,2030,Kenya,heatpump,2020,19.00000000000
3,2034,Kenya,heatpump,2020,19.00000000000
5,2035,Kenya,heatpump,2030,17.90000000000
5,2039,Kenya,heatpump,2030,17.90000000000
5,2040,Kenya,heatpump,2030,17.90000000000
5,2044,Kenya,heatpump,2030,17.90000000000
