timeslice,commodity,region,supply,units_prices,year
"('winter', 'all-week', 'night')",electricity,Kenya,41.66810000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'day')",electricity,Kenya,42.48070000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'night')",electricity,Kenya,48.16620000000,MUS$2020/PJ,2020
"('spring', 'all-week', 'day')",electricity,Kenya,48.74900000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'night')",electricity,Kenya,39.45010000000,MUS$2020/PJ,2020
"('summer', 'all-week', 'day')",electricity,Kenya,39.76560000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'night')",electricity,Kenya,45.75360000000,MUS$2020/PJ,2020
"('autumn', 'all-week', 'day')",electricity,Kenya,45.64280000000,MUS$2020/PJ,2020
"('winter', 'all-week', 'night')",electricity,Kenya,58.14560000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'day')",electricity,Kenya,58.71440000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'night')",electricity,Kenya,62.69430000000,MUS$2020/PJ,2025
"('spring', 'all-week', 'day')",electricity,Kenya,63.10220000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'night')",electricity,Kenya,56.59300000000,MUS$2020/PJ,2025
"('summer', 'all-week', 'day')",electricity,Kenya,56.81380000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'night')",electricity,Kenya,61.00540000000,MUS$2020/PJ,2025
"('autumn', 'all-week', 'day')",electricity,Kenya,60.92790000000,MUS$2020/PJ,2025
"('winter', 'all-week', 'night')",electricity,Kenya,76.39880000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'day')",electricity,Kenya,76.79700000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'night')",electricity,Kenya,79.58290000000,MUS$2020/PJ,2030
"('spring', 'all-week', 'day')",electricity,Kenya,79.86840000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'night')",electricity,Kenya,75.31200000000,MUS$2020/PJ,2030
"('summer', 'all-week', 'day')",electricity,Kenya,75.46660000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'night')",electricity,Kenya,78.40070000000,MUS$2020/PJ,2030
"('autumn', 'all-week', 'day')",electricity,Kenya,78.34640000000,MUS$2020/PJ,2030
"('winter', 'all-week', 'night')",electricity,Kenya,130.97010000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'day')",electricity,Kenya,131.24880000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'night')",electricity,Kenya,133.19890000000,MUS$2020/PJ,2035
"('spring', 'all-week', 'day')",electricity,Kenya,133.39880000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'night')",electricity,Kenya,130.20930000000,MUS$2020/PJ,2035
"('summer', 'all-week', 'day')",electricity,Kenya,130.31750000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'night')",electricity,Kenya,132.37140000000,MUS$2020/PJ,2035
"('autumn', 'all-week', 'day')",electricity,Kenya,132.33340000000,MUS$2020/PJ,2035
"('winter', 'all-week', 'night')",electricity,Kenya,179.27710000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'day')",electricity,Kenya,179.47220000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'night')",electricity,Kenya,180.83730000000,MUS$2020/PJ,2040
"('spring', 'all-week', 'day')",electricity,Kenya,180.97720000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'night')",electricity,Kenya,178.74460000000,MUS$2020/PJ,2040
"('summer', 'all-week', 'day')",electricity,Kenya,178.82030000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'night')",electricity,Kenya,180.25810000000,MUS$2020/PJ,2040
"('autumn', 'all-week', 'day')",electricity,Kenya,180.23150000000,MUS$2020/PJ,2040
"('winter', 'all-week', 'night')",electricity,Kenya,227.99420000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'day')",electricity,Kenya,228.13080000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'night')",electricity,Kenya,229.08630000000,MUS$2020/PJ,2045
"('spring', 'all-week', 'day')",electricity,Kenya,229.18430000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'night')",electricity,Kenya,227.62140000000,MUS$2020/PJ,2045
"('summer', 'all-week', 'day')",electricity,Kenya,227.67440000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'night')",electricity,Kenya,228.68080000000,MUS$2020/PJ,2045
"('autumn', 'all-week', 'day')",electricity,Kenya,228.66220000000,MUS$2020/PJ,2045
"('winter', 'all-week', 'night')",electricity,Kenya,270.29620000000,MUS$2020/PJ,2050
"('winter', 'all-week', 'day')",electricity,Kenya,270.39180000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'night')",electricity,Kenya,271.06070000000,MUS$2020/PJ,2050
"('spring', 'all-week', 'day')",electricity,Kenya,271.12930000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'night')",electricity,Kenya,270.03530000000,MUS$2020/PJ,2050
"('summer', 'all-week', 'day')",electricity,Kenya,270.07240000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'night')",electricity,Kenya,270.77690000000,MUS$2020/PJ,2050
"('autumn', 'all-week', 'day')",electricity,Kenya,270.76380000000,MUS$2020/PJ,2050
