asset,year,region,installed,technology,capacity
0,2050,Kenya,2020,Biomass Power Plant,0.33390000000
1,2050,Kenya,2020,Geothermal Power Plant,1.55460000000
2,2050,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),1.85140000000
3,2050,Kenya,2020,Light Fuel Oil Power Plant,1.06670000000
4,2050,Kenya,2020,Medium Hydropower Plant (10-100MW),0.92310000000
5,2050,Kenya,2020,Oil Fired Gas Turbine (SCGT),1.65840000000
6,2050,Kenya,2020,Onshore Wind,1.15020000000
7,2050,Kenya,2020,Solar PV (Distributed with Storage),0.14040000000
8,2050,Kenya,2020,Solar PV (Utility),0.08900000000
9,2050,Kenya,2025,Geothermal Power Plant,34.18170000000
9,2054,Kenya,2025,Geothermal Power Plant,34.18170000000
10,2050,Kenya,2030,Geothermal Power Plant,75.99960000000
10,2054,Kenya,2030,Geothermal Power Plant,75.99960000000
10,2055,Kenya,2030,Geothermal Power Plant,75.99960000000
10,2059,Kenya,2030,Geothermal Power Plant,75.99960000000
11,2050,Kenya,2035,Geothermal Power Plant,65.87820000000
11,2054,Kenya,2035,Geothermal Power Plant,65.87820000000
11,2055,Kenya,2035,Geothermal Power Plant,65.87820000000
11,2059,Kenya,2035,Geothermal Power Plant,65.87820000000
11,2060,Kenya,2035,Geothermal Power Plant,65.87820000000
11,2064,Kenya,2035,Geothermal Power Plant,65.87820000000
12,2050,Kenya,2040,Geothermal Power Plant,66.22640000000
12,2054,Kenya,2040,Geothermal Power Plant,66.22640000000
12,2055,Kenya,2040,Geothermal Power Plant,66.22640000000
12,2059,Kenya,2040,Geothermal Power Plant,66.22640000000
12,2060,Kenya,2040,Geothermal Power Plant,66.22640000000
12,2064,Kenya,2040,Geothermal Power Plant,66.22640000000
12,2065,Kenya,2040,Geothermal Power Plant,66.22640000000
12,2069,Kenya,2040,Geothermal Power Plant,66.22640000000
13,2050,Kenya,2045,Geothermal Power Plant,93.64440000000
13,2054,Kenya,2045,Geothermal Power Plant,93.64440000000
13,2055,Kenya,2045,Geothermal Power Plant,93.64440000000
13,2059,Kenya,2045,Geothermal Power Plant,93.64440000000
13,2060,Kenya,2045,Geothermal Power Plant,93.64440000000
13,2064,Kenya,2045,Geothermal Power Plant,93.64440000000
13,2065,Kenya,2045,Geothermal Power Plant,93.64440000000
13,2069,Kenya,2045,Geothermal Power Plant,93.64440000000
13,2070,Kenya,2045,Geothermal Power Plant,93.64440000000
13,2074,Kenya,2045,Geothermal Power Plant,93.64440000000
14,2055,Kenya,2050,Geothermal Power Plant,40.22380000000
14,2059,Kenya,2050,Geothermal Power Plant,40.22380000000
14,2060,Kenya,2050,Geothermal Power Plant,40.22380000000
14,2064,Kenya,2050,Geothermal Power Plant,40.22380000000
14,2065,Kenya,2050,Geothermal Power Plant,40.22380000000
14,2069,Kenya,2050,Geothermal Power Plant,40.22380000000
14,2070,Kenya,2050,Geothermal Power Plant,40.22380000000
14,2074,Kenya,2050,Geothermal Power Plant,40.22380000000
14,2075,Kenya,2050,Geothermal Power Plant,40.22380000000
14,2079,Kenya,2050,Geothermal Power Plant,40.22380000000
