,commodity,region,technology,year,supply
0,electricity,Kenya,Biomass Power Plant,2040,0.34070000000
1,electricity,Kenya,Biomass Power Plant,2040,0.34070000000
2,electricity,Kenya,Biomass Power Plant,2040,0.34070000000
3,electricity,Kenya,Biomass Power Plant,2040,0.34070000000
4,electricity,Kenya,Biomass Power Plant,2040,0.34070000000
5,electricity,Kenya,Biomass Power Plant,2040,0.34070000000
6,electricity,Kenya,Biomass Power Plant,2040,0.34070000000
7,electricity,Kenya,Biomass Power Plant,2040,0.34070000000
8,electricity,Kenya,Biomass Power Plant,2045,0.23850000000
9,electricity,Kenya,Biomass Power Plant,2045,0.23850000000
10,electricity,Kenya,Biomass Power Plant,2045,0.23850000000
11,electricity,Kenya,Biomass Power Plant,2045,0.23850000000
12,electricity,Kenya,Biomass Power Plant,2045,0.23850000000
13,electricity,Kenya,Biomass Power Plant,2045,0.23850000000
14,electricity,Kenya,Biomass Power Plant,2045,0.23850000000
15,electricity,Kenya,Biomass Power Plant,2045,0.23850000000
16,electricity,Kenya,Gas Power Plant (CCGT),2040,28.97790000000
17,electricity,Kenya,Gas Power Plant (CCGT),2040,28.97790000000
18,electricity,Kenya,Gas Power Plant (CCGT),2040,28.97790000000
19,electricity,Kenya,Gas Power Plant (CCGT),2040,28.97790000000
20,electricity,Kenya,Gas Power Plant (CCGT),2040,28.97790000000
21,electricity,Kenya,Gas Power Plant (CCGT),2040,28.97790000000
22,electricity,Kenya,Gas Power Plant (CCGT),2040,28.97790000000
23,electricity,Kenya,Gas Power Plant (CCGT),2040,28.97790000000
24,electricity,Kenya,Gas Power Plant (CCGT),2045,28.97790000000
25,electricity,Kenya,Gas Power Plant (CCGT),2045,28.97790000000
26,electricity,Kenya,Gas Power Plant (CCGT),2045,28.97790000000
27,electricity,Kenya,Gas Power Plant (CCGT),2045,28.97790000000
28,electricity,Kenya,Gas Power Plant (CCGT),2045,28.97790000000
29,electricity,Kenya,Gas Power Plant (CCGT),2045,28.97790000000
30,electricity,Kenya,Gas Power Plant (CCGT),2045,28.97790000000
31,electricity,Kenya,Gas Power Plant (CCGT),2045,28.97790000000
32,electricity,Kenya,Geothermal Power Plant,2040,2.50630000000
33,electricity,Kenya,Geothermal Power Plant,2040,2.50630000000
34,electricity,Kenya,Geothermal Power Plant,2040,2.50630000000
35,electricity,Kenya,Geothermal Power Plant,2040,2.50630000000
36,electricity,Kenya,Geothermal Power Plant,2040,2.50630000000
37,electricity,Kenya,Geothermal Power Plant,2040,2.50630000000
38,electricity,Kenya,Geothermal Power Plant,2040,2.50630000000
39,electricity,Kenya,Geothermal Power Plant,2040,2.50630000000
40,electricity,Kenya,Geothermal Power Plant,2045,1.75440000000
41,electricity,Kenya,Geothermal Power Plant,2045,1.75440000000
42,electricity,Kenya,Geothermal Power Plant,2045,1.75440000000
43,electricity,Kenya,Geothermal Power Plant,2045,1.75440000000
44,electricity,Kenya,Geothermal Power Plant,2045,1.75440000000
45,electricity,Kenya,Geothermal Power Plant,2045,1.75440000000
46,electricity,Kenya,Geothermal Power Plant,2045,1.75440000000
47,electricity,Kenya,Geothermal Power Plant,2045,1.75440000000
48,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2040,2.11000000000
49,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2040,2.11000000000
50,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2040,2.53930000000
51,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2040,2.53930000000
52,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2040,1.09780000000
53,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2040,1.09780000000
54,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2040,1.49710000000
55,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2040,1.49710000000
56,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2045,1.47700000000
57,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2045,1.47700000000
58,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2045,1.77750000000
59,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2045,1.77750000000
60,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2045,0.76840000000
61,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2045,0.76840000000
62,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2045,1.04800000000
63,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2045,1.04800000000
64,electricity,Kenya,Light Fuel Oil Power Plant,2040,1.74150000000
65,electricity,Kenya,Light Fuel Oil Power Plant,2040,1.74150000000
66,electricity,Kenya,Light Fuel Oil Power Plant,2040,1.74150000000
67,electricity,Kenya,Light Fuel Oil Power Plant,2040,1.74150000000
68,electricity,Kenya,Light Fuel Oil Power Plant,2040,1.74150000000
69,electricity,Kenya,Light Fuel Oil Power Plant,2040,1.74150000000
70,electricity,Kenya,Light Fuel Oil Power Plant,2040,1.74150000000
71,electricity,Kenya,Light Fuel Oil Power Plant,2040,1.74150000000
72,electricity,Kenya,Light Fuel Oil Power Plant,2045,1.21910000000
73,electricity,Kenya,Light Fuel Oil Power Plant,2045,1.21910000000
74,electricity,Kenya,Light Fuel Oil Power Plant,2045,1.21910000000
75,electricity,Kenya,Light Fuel Oil Power Plant,2045,1.21910000000
76,electricity,Kenya,Light Fuel Oil Power Plant,2045,1.21910000000
77,electricity,Kenya,Light Fuel Oil Power Plant,2045,1.21910000000
78,electricity,Kenya,Light Fuel Oil Power Plant,2045,1.21910000000
79,electricity,Kenya,Light Fuel Oil Power Plant,2045,1.21910000000
80,electricity,Kenya,Medium Hydropower Plant (10-100MW),2040,1.05200000000
81,electricity,Kenya,Medium Hydropower Plant (10-100MW),2040,1.05200000000
82,electricity,Kenya,Medium Hydropower Plant (10-100MW),2040,1.26610000000
83,electricity,Kenya,Medium Hydropower Plant (10-100MW),2040,1.26610000000
84,electricity,Kenya,Medium Hydropower Plant (10-100MW),2040,0.54730000000
85,electricity,Kenya,Medium Hydropower Plant (10-100MW),2040,0.54730000000
86,electricity,Kenya,Medium Hydropower Plant (10-100MW),2040,0.74650000000
87,electricity,Kenya,Medium Hydropower Plant (10-100MW),2040,0.74650000000
