,timeslice,commodity,region,technology,year,agent,category,sector,supply
0,"('winter', 'all-week', 'night')",CO2f,Laos,Biomass Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
1,"('winter', 'all-week', 'night')",CO2f,Laos,Coal Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
2,"('winter', 'all-week', 'night')",CO2f,Laos,Large Hydropower Plant (Dam) (>100MW),2020.00000000000,A1,newcapa,power,0.00000000000
3,"('winter', 'all-week', 'night')",CO2f,Laos,Medium Hydropower Plant (10-100MW),2020.00000000000,A1,newcapa,power,0.00000000000
4,"('winter', 'all-week', 'night')",CO2f,Laos,Small Hydropower Plant (<10MW),2020.00000000000,A1,newcapa,power,0.00000000000
5,"('winter', 'all-week', 'night')",CO2f,Laos,Solar PV (Distributed with Storage),2020.00000000000,A1,newcapa,power,0.00000000000
6,"('winter', 'all-week', 'night')",biomass,Laos,Biomass Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
7,"('winter', 'all-week', 'night')",biomass,Laos,Coal Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
8,"('winter', 'all-week', 'night')",biomass,Laos,Large Hydropower Plant (Dam) (>100MW),2020.00000000000,A1,newcapa,power,0.00000000000
9,"('winter', 'all-week', 'night')",biomass,Laos,Medium Hydropower Plant (10-100MW),2020.00000000000,A1,newcapa,power,0.00000000000
10,"('winter', 'all-week', 'night')",biomass,Laos,Small Hydropower Plant (<10MW),2020.00000000000,A1,newcapa,power,0.00000000000
11,"('winter', 'all-week', 'night')",biomass,Laos,Solar PV (Distributed with Storage),2020.00000000000,A1,newcapa,power,0.00000000000
12,"('winter', 'all-week', 'night')",coal,Laos,Biomass Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
13,"('winter', 'all-week', 'night')",coal,Laos,Coal Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
14,"('winter', 'all-week', 'night')",coal,Laos,Large Hydropower Plant (Dam) (>100MW),2020.00000000000,A1,newcapa,power,0.00000000000
15,"('winter', 'all-week', 'night')",coal,Laos,Medium Hydropower Plant (10-100MW),2020.00000000000,A1,newcapa,power,0.00000000000
16,"('winter', 'all-week', 'night')",coal,Laos,Small Hydropower Plant (<10MW),2020.00000000000,A1,newcapa,power,0.00000000000
17,"('winter', 'all-week', 'night')",coal,Laos,Solar PV (Distributed with Storage),2020.00000000000,A1,newcapa,power,0.00000000000
18,"('winter', 'all-week', 'night')",gas,Laos,Biomass Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
19,"('winter', 'all-week', 'night')",gas,Laos,Coal Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
20,"('winter', 'all-week', 'night')",gas,Laos,Large Hydropower Plant (Dam) (>100MW),2020.00000000000,A1,newcapa,power,0.00000000000
