ProcessName,RegionName,Time,Level,CO2f,biomass,coal,gas,geothermal,hydro,oil,solar,uranium,wind,electricity
Unit,-,Year,-,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
Biomass Power Plant,Lesotho,2020,fixed,0,1.0,0,0,0,0,0,0,0,0,0
CSP with Storage,Lesotho,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
CSP without Storage,Lesotho,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
Coal Power Plant,Lesotho,2020,fixed,0,0,1.0,0,0,0,0,0,0,0,0
Gas Power Plant (CCGT),Lesotho,2020,fixed,0,0,0,1.0,0,0,0,0,0,0,0
Gas Power Plant (SCGT),Lesotho,2020,fixed,0,0,0,1.0,0,0,0,0,0,0,0
Geothermal Power Plant,Lesotho,2020,fixed,0,0,0,0,1.0,0,0,0,0,0,0
Large Hydropower Plant (Dam) (>100MW),Lesotho,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Light Fuel Oil Power Plant,Lesotho,2020,fixed,0,0,0,0,0,0,1.0,0,0,0,0
Light Fuel Oil Standalone Generator (1kW),Lesotho,2020,fixed,0,0,0,0,0,0,1.0,0,0,0,0
Medium Hydropower Plant (10-100MW),Lesotho,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Nuclear Power Plant,Lesotho,2020,fixed,0,0,0,0,0,0,0,0,1.0,0,0
Offshore Wind,Lesotho,2020,fixed,0,0,0,0,0,0,0,0,0,1.0,0
Oil Fired Gas Turbine (SCGT),Lesotho,2020,fixed,0,0,0,0,0,0,1.0,0,0,0,0
Onshore Wind,Lesotho,2020,fixed,0,0,0,0,0,0,0,0,0,1.0,0
Small Hydropower Plant (<10MW),Lesotho,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Solar PV (Distributed with Storage),Lesotho,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
Solar PV (Utility),Lesotho,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
