ProcessName,RegionName,Time,Level,CO2f,biomass,coal,gas,geothermal,hydro,oil,solar,uranium,wind,electricity
Unit,-,Year,-,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
Biomass Power Plant,Mauritania,2020,fixed,0,1.0,0,0,0,0,0,0,0,0,0
CSP with Storage,Mauritania,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
CSP without Storage,Mauritania,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
Coal Power Plant,Mauritania,2020,fixed,0,0,1.0,0,0,0,0,0,0,0,0
Gas Power Plant (CCGT),Mauritania,2020,fixed,0,0,0,1.0,0,0,0,0,0,0,0
Gas Power Plant (SCGT),Mauritania,2020,fixed,0,0,0,1.0,0,0,0,0,0,0,0
Geothermal Power Plant,Mauritania,2020,fixed,0,0,0,0,1.0,0,0,0,0,0,0
Large Hydropower Plant (Dam) (>100MW),Mauritania,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Light Fuel Oil Power Plant,Mauritania,2020,fixed,0,0,0,0,0,0,1.0,0,0,0,0
Light Fuel Oil Standalone Generator (1kW),Mauritania,2020,fixed,0,0,0,0,0,0,1.0,0,0,0,0
Medium Hydropower Plant (10-100MW),Mauritania,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Nuclear Power Plant,Mauritania,2020,fixed,0,0,0,0,0,0,0,0,1.0,0,0
Offshore Wind,Mauritania,2020,fixed,0,0,0,0,0,0,0,0,0,1.0,0
Oil Fired Gas Turbine (SCGT),Mauritania,2020,fixed,0,0,0,0,0,0,1.0,0,0,0,0
Onshore Wind,Mauritania,2020,fixed,0,0,0,0,0,0,0,0,0,1.0,0
Small Hydropower Plant (<10MW),Mauritania,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Solar PV (Distributed with Storage),Mauritania,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
Solar PV (Utility),Mauritania,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
