ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Biomass Power Plant,Venezuela,2020,fixed,60.407153729071545,1.0,0.4122272957889397,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.66,1.0,35.0,0.1,energy,biomass,electricity,1.0
CSP with Storage,Venezuela,2020,fixed,183.82166412988335,1.0,1.8382166412988334,1.0,3.17e-06,1.0,10.0,5.0,10000.0,40.0,0.4,1.0,35.0,0.1,energy,solar,electricity,1.0
Coal Power Plant,Venezuela,2020,fixed,79.27447995941148,1.0,1.2683916793505836,1.0,3.17e-06,1.0,0,0,0,40.0,0.85,1.0,43.0,0.1,energy,coal,electricity,1.0
Gas Power Plant (CCGT),Venezuela,2020,fixed,39.95433789954338,1.0,0.6341958396752918,1.0,3.17e-06,1.0,0,0,0,30.0,0.85,1.0,56.99999999999999,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Venezuela,2020,fixed,18.486808726534758,1.0,0.3170979198376459,1.0,3.17e-06,1.0,0,0,0,30.0,0.85,1.0,38.0,0.1,energy,gas,electricity,1.0
Geothermal Power Plant,Venezuela,2020,fixed,120.38527397260275,1.0,3.1709791983764593,1.0,3.17e-06,1.0,10.0,5.0,28.69776,20.0,0.85,1.0,11.0,0.1,energy,geothermal,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Venezuela,2020,fixed,93.19507864028414,1.0,2.7958523592085243,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.63,100.0,100.0,0.1,energy,hydro,electricity,1.0
Light Fuel Oil Power Plant,Venezuela,2020,fixed,38.05175038051751,1.0,0.47564687975646885,1.0,3.17e-06,1.0,0,0,0,25.0,0.85,1.0,35.0,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Venezuela,2020,fixed,23.782343987823445,1.0,0.7293252156265856,1.0,3.17e-06,1.0,0,0,0,20.0,0.4,0.001,42.0,0.1,energy,LFO,electricity,1.0
Medium Hydropower Plant (10-100MW),Venezuela,2020,fixed,79.27447995941148,1.0,2.3782343987823444,1.0,3.17e-06,1.0,10.0,5.0,1449.1422719999998,60.0,0.63,10.0,100.0,0.1,energy,hydro,electricity,1.0
