Power Generation Technology,Year,Value,Parameter
Light Fuel Oil Power Plant,2015,327.8,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,23.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,419.62,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,14.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,849.4,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,71.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,12.87,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,6.86,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,327.8,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,23.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,419.62,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,14.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,849.4,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,71.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,13.38,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,6.86,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,327.8,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,23.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,419.62,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,14.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,849.4,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,71.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,13.38,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,6.86,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,327.8,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,23.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,419.62,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,14.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,849.4,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,71.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,13.38,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,6.86,Estimated Installed Capacity (MW)
