Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,150.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,1315.58,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,383.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,13.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,496.9,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,5.54,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,9.2,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,150.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,1315.58,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,383.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,13.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,496.9,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,5.54,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,9.2,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,150.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,1315.58,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,383.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,13.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,496.9,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,5.54,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,9.2,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,150.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,1315.58,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,383.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,13.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,496.9,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,5.54,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,9.2,Estimated Installed Capacity (MW)
