Power Generation Technology,Year,Value,Parameter
Medium Hydropower Plant (10-100MW),2015,49.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,2.7,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,1.6,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,49.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,3.7,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,1.6,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,49.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,4.7,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,1.6,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,49.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,4.7,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,1.6,Estimated Installed Capacity (MW)
