Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,2.0,Estimated Installed Capacity (MW)
Coal Power Plant,2015,506.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,54.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,12.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,897.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,33.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,1.25,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,2.0,Estimated Installed Capacity (MW)
Coal Power Plant,2016,506.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,54.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,12.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,897.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,33.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,1.93,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,2.0,Estimated Installed Capacity (MW)
Coal Power Plant,2017,506.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,54.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,12.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,897.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,33.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,1.94,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,2.0,Estimated Installed Capacity (MW)
Coal Power Plant,2018,506.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,54.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,12.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,897.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,33.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,1.94,Estimated Installed Capacity (MW)
