Power Generation Technology,Year,Value,Parameter
Light Fuel Oil Power Plant,2015,156.61,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,11.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,450.01,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,200.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,550.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,170.8,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,7.4,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,0.3,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,156.61,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,11.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,450.01,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,200.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,550.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,170.8,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,9.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,0.3,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,156.61,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,11.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,450.01,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,200.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,550.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,170.8,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,11.6,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,0.3,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,156.61,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,11.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,450.01,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,200.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,550.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,170.8,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,14.19,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,0.3,Estimated Installed Capacity (MW)
