lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
COL0PWRBIO001,COL,PWRBIO001,0,Capacity Scaler,30.0,2001,0.24
COL0PWRCOA001,COL,PWRCOA001,0,Capacity Scaler,30.0,1997,0.2879017632
COL1PWRCOA001,COL,PWRCOA001,1,Gecelcapowers7900,30.0,2016,0.164
COL2PWRCOA001,COL,PWRCOA001,2,Termoguajirapo7910,30.0,1985,0.33
COL3PWRCOA001,COL,PWRCOA001,3,Termopaipapowe7911,30.0,1987,0.346
COL4PWRCOA001,COL,PWRCOA001,4,Termotasajerop7912,30.0,2000,0.324
COL5PWRCOA001,COL,PWRCOA001,5,TermozipaCorra7914,30.0,1975,0.23
COL0PWRNGS001,COL,PWRNGS001,0,Capacity Scaler,30.0,1994,0.5980579346
COL1PWRNGS001,COL,PWRNGS001,1,LaSierra7902,30.0,1994,0.46
COL2PWRNGS001,COL,PWRNGS001,2,Termobarranquil7907,30.0,1994,0.918
COL3PWRNGS001,COL,PWRNGS001,3,Termocentro7908,30.0,1994,0.3
COL4PWRNGS001,COL,PWRNGS001,4,Termoflores7909,30.0,1994,0.67
COL5PWRNGS001,COL,PWRNGS001,5,Termovalle7913,30.0,1994,0.205
COL0PWRHYD002,COL,PWRHYD002,0,Calderas7893,80.0,1974,0.026
COL0PWRHYD001,COL,PWRHYD001,0,CantralLaTasa7894,80.0,1974,0.306
COL1PWRHYD001,COL,PWRHYD001,1,Capacity Scaler,80.0,1974,4.8060000001
COL2PWRHYD001,COL,PWRHYD001,2,CentralGuadalu7896,80.0,1974,0.27
COL3PWRHYD001,COL,PWRHYD001,3,CentralGuatap7897,80.0,1974,0.56
COL4PWRHYD001,COL,PWRHYD001,4,Chivor7898,80.0,1974,0.999
COL5PWRHYD001,COL,PWRHYD001,5,Gavio7899,80.0,1974,1.2
COL6PWRHYD001,COL,PWRHYD001,6,Jaguas7901,80.0,1974,0.17
COL7PWRHYD001,COL,PWRHYD001,7,MielI7903,80.0,1974,0.396
COL8PWRHYD001,COL,PWRHYD001,8,PorceIII7904,80.0,1974,0.66
COL9PWRHYD001,COL,PWRHYD001,9,SanCarlos7905,80.0,1974,1.248
COL10PWRHYD001,COL,PWRHYD001,10,Sogamoso7906,80.0,1974,0.819
COL1PWRHYD002,COL,PWRHYD002,1,TronerasCentra7915,80.0,1974,0.04
COL0PWROHC002,COL,PWROHC002,0,Cartagena7895,30.0,1996,0.188
COL0PWRWND001,COL,PWRWND001,0,Capacity Scaler,20.0,2009,0.02
