Power Generation Technology,Year,Value,Parameter
Gas Power Plant (CCGT),2015,716.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,504.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,549.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,50.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,5.06,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,716.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,504.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,549.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,50.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,5.06,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,716.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,504.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,549.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,50.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,8.28,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,716.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,504.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,549.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,50.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,8.28,Estimated Installed Capacity (MW)
