lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
ECU0PWRBIO001,ECU,PWRBIO001,0,Capacity Scaler,30.0,2001,0.14
ECU0PWRNGS002,ECU,PWRNGS002,0,AlvaroTinajero8521,30.0,1994,0.095
ECU0PWRNGS001,ECU,PWRNGS001,0,Capacity Scaler,30.0,1994,1.2395435124
ECU1PWRNGS001,ECU,PWRNGS001,1,Electroquil8526,30.0,1994,0.181
ECU2PWRNGS001,ECU,PWRNGS001,2,GonzaloZevallo8529,30.0,1978,0.146
ECU1PWRNGS002,ECU,PWRNGS002,1,SantaRosa8535,30.0,2013,0.051
ECU0PWRHYD002,ECU,PWRHYD002,0,Alao8520,80.0,1974,0.01
ECU1PWRHYD002,ECU,PWRHYD002,1,Calope8522,80.0,1974,0.018
ECU0PWRHYD001,ECU,PWRHYD001,0,CocaCodaSincl8525,80.0,2010,1.5
ECU2PWRHYD002,ECU,PWRHYD002,2,Guangopolo8531,80.0,1974,0.021
ECU3PWRHYD002,ECU,PWRHYD002,3,Manduriacu8532,80.0,2015,0.065
ECU1PWRHYD001,ECU,PWRHYD001,1,Paute8534,80.0,1974,1.101
ECU4PWRHYD002,ECU,PWRHYD002,4,Saucay8536,80.0,1974,0.024
ECU5PWRHYD002,ECU,PWRHYD002,5,Saymirin8537,80.0,1974,0.014
ECU6PWRHYD002,ECU,PWRHYD002,6,Sibimbe8538,80.0,1974,0.015
ECU2PWRHYD001,ECU,PWRHYD001,2,SopladoraII8539,80.0,1974,0.488
ECU0PWROHC002,ECU,PWROHC002,0,Capacity Scaler,30.0,1996,1.2252964875
ECU1PWROHC002,ECU,PWROHC002,1,Catamayo8523,30.0,1996,0.02
ECU2PWROHC002,ECU,PWROHC002,2,CentralTermica8524,30.0,1994,0.133
ECU3PWROHC002,ECU,PWROHC002,3,Esmeraldas8527,30.0,1996,0.133
ECU4PWROHC002,ECU,PWROHC002,4,EsmeraldasII8528,30.0,2014,0.096
ECU5PWROHC002,ECU,PWROHC002,5,GualbertoHerna8530,30.0,1996,0.034
ECU6PWROHC002,ECU,PWROHC002,6,Miraflores8533,30.0,1996,0.052
ECU0PWRSOL001,ECU,PWRSOL001,0,Capacity Scaler,20.0,2014,0.03
ECU0PWRWND001,ECU,PWRWND001,0,Capacity Scaler,20.0,2009,0.02
