lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
EGY0PWRCSP001,EGY,PWRCSP001,0,Capacity Scaler,,2009,0.02
EGY0PWRNGS001,EGY,PWRNGS001,0,AbuKir8540,30.0,1994,2.238
EGY1PWRNGS001,EGY,PWRNGS001,1,AbuSultan8541,30.0,1994,0.6
EGY0PWRNGS002,EGY,PWRNGS002,0,Arish8542,30.0,1995,0.066
EGY2PWRNGS001,EGY,PWRNGS001,2,Ataka8545,30.0,1994,0.9
EGY3PWRNGS001,EGY,PWRNGS001,3,Banha8546,30.0,2014,0.5
EGY4PWRNGS001,EGY,PWRNGS001,4,CairoNorth8547,30.0,1994,1.5
EGY5PWRNGS001,EGY,PWRNGS001,5,CairoSouth8548,30.0,1994,0.716
EGY6PWRNGS001,EGY,PWRNGS001,6,CairoWest8549,30.0,1994,1.36
EGY7PWRNGS001,EGY,PWRNGS001,7,Capacity Scaler,30.0,1994,4.9236679518
EGY8PWRNGS001,EGY,PWRNGS001,8,Damanhour8550,30.0,1994,0.458
EGY9PWRNGS001,EGY,PWRNGS001,9,Damietta8551,30.0,1994,1.2
EGY10PWRNGS001,EGY,PWRNGS001,10,DamiettaWest8552,30.0,2012,0.5
EGY11PWRNGS001,EGY,PWRNGS001,11,ElAtf8553,30.0,1994,0.75
EGY12PWRNGS001,EGY,PWRNGS001,12,ElSeiuf8554,30.0,1994,0.2
EGY13PWRNGS001,EGY,PWRNGS001,13,ElTebeen8555,30.0,2010,0.7
EGY14PWRNGS001,EGY,PWRNGS001,14,KafrElDawar8559,30.0,1994,0.44
EGY15PWRNGS001,EGY,PWRNGS001,15,Kuriemat28561,30.0,1994,2.751
EGY1PWRNGS002,EGY,PWRNGS002,1,KuriematSolar8562,30.0,2011,0.12
EGY16PWRNGS001,EGY,PWRNGS001,16,Mahmoudia8563,30.0,1994,0.317
EGY2PWRNGS002,EGY,PWRNGS002,2,Matrouh8564,30.0,1990,0.06
EGY17PWRNGS001,EGY,PWRNGS001,17,NewGasDamiett8566,30.0,2011,0.5
EGY18PWRNGS001,EGY,PWRNGS001,18,NewGasShabab8567,30.0,2011,0.999
EGY19PWRNGS001,EGY,PWRNGS001,19,NorthGiza8568,30.0,2014,2.25
EGY20PWRNGS001,EGY,PWRNGS001,20,Nubaria8569,30.0,1994,2.25
EGY21PWRNGS001,EGY,PWRNGS001,21,October6th8570,30.0,2012,0.6
EGY22PWRNGS001,EGY,PWRNGS001,22,OyounMousa8571,30.0,2001,0.64
EGY3PWRNGS002,EGY,PWRNGS002,3,PortSaid8572,30.0,1997,0.048
EGY23PWRNGS001,EGY,PWRNGS001,23,PortSaidEast8573,30.0,2003,0.684
EGY4PWRNGS002,EGY,PWRNGS002,4,Shabab8574,30.0,1982,0.1
EGY24PWRNGS001,EGY,PWRNGS001,24,ShoubraElKhei8576,30.0,1994,1.296
EGY25PWRNGS001,EGY,PWRNGS001,25,SidiKrir8577,30.0,1994,2.094
EGY26PWRNGS001,EGY,PWRNGS001,26,SuezGulf8578,30.0,2002,0.684
EGY27PWRNGS001,EGY,PWRNGS001,27,Talkha8579,30.0,1994,1.46
EGY5PWRNGS002,EGY,PWRNGS002,5,WadiHof8580,30.0,1985,0.1
EGY0PWRHYD001,EGY,PWRHYD001,0,AswanDamII8544,80.0,1985,0.55
EGY0PWRHYD002,EGY,PWRHYD002,0,Capacity Scaler,80.0,1974,0.05
EGY1PWRHYD002,EGY,PWRHYD002,1,Esna8556,80.0,1993,0.086
EGY1PWRHYD001,EGY,PWRHYD001,1,HighDam8557,80.0,1967,2.1
EGY2PWRHYD002,EGY,PWRHYD002,2,NagaHamadi8565,80.0,2008,0.064
EGY0PWROHC002,EGY,PWROHC002,0,Assiut8543,30.0,1996,0.09
EGY1PWROHC002,EGY,PWROHC002,1,Capacity Scaler,30.0,1996,0.16933204770000002
EGY2PWROHC002,EGY,PWROHC002,2,Hurghada8558,30.0,1996,0.143
EGY3PWROHC002,EGY,PWROHC002,3,Karmouz8560,30.0,1980,0.023
EGY4PWROHC002,EGY,PWROHC002,4,SharmElSheikh8575,30.0,1996,0.144
EGY5PWROHC002,EGY,PWROHC002,5,Walidia8581,30.0,1996,0.6
EGY0PWRSOL001,EGY,PWRSOL001,0,Capacity Scaler,20.0,2014,0.025
EGY0PWRWND001,EGY,PWRWND001,0,Capacity Scaler,20.0,2009,0.263
EGY1PWRWND001,EGY,PWRWND001,1,Zafarana8582,20.0,2009,0.547
