lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
IDN0PWRBIO001,IDN,PWRBIO001,0,Capacity Scaler,30.0,2001,1.7399999997
IDN0PWRCOA001,IDN,PWRCOA001,0,AmamaparePort12950,30.0,1998,0.195
IDN1PWRCOA001,IDN,PWRCOA001,1,Amurangpowers12952,30.0,2012,0.06
IDN2PWRCOA001,IDN,PWRCOA001,2,BantenSerangp12956,30.0,2017,0.66
IDN3PWRCOA001,IDN,PWRCOA001,3,BatuHijaupowe12957,30.0,1999,0.124
IDN4PWRCOA001,IDN,PWRCOA001,4,Capacity Scaler,30.0,1997,5.054452544299999
IDN5PWRCOA001,IDN,PWRCOA001,5,CelukanBawang12962,30.0,2015,0.382
IDN6PWRCOA001,IDN,PWRCOA001,6,CikarangBabela12964,30.0,2017,0.28
IDN7PWRCOA001,IDN,PWRCOA001,7,CilacapSumber12965,30.0,2011,1.26
IDN8PWRCOA001,IDN,PWRCOA001,8,Kalteng1Pulan12975,30.0,2015,0.12
IDN9PWRCOA001,IDN,PWRCOA001,9,KaltimTelukBa12976,30.0,2015,0.22
IDN10PWRCOA001,IDN,PWRCOA001,10,KebanAgungpow12980,30.0,2015,0.27
IDN11PWRCOA001,IDN,PWRCOA001,11,KetapangSmelte12982,30.0,2016,0.08
IDN12PWRCOA001,IDN,PWRCOA001,12,LampungSebalan12990,30.0,2015,0.2
IDN13PWRCOA001,IDN,PWRCOA001,13,MedanSteelMil12995,30.0,2017,0.06
IDN14PWRCOA001,IDN,PWRCOA001,14,Merakpowersta12997,30.0,2014,0.12
IDN15PWRCOA001,IDN,PWRCOA001,15,PLTUAsamasam13045,30.0,1997,0.26
IDN16PWRCOA001,IDN,PWRCOA001,16,PLTUBanjarsari13046,30.0,1997,0.22
IDN17PWRCOA001,IDN,PWRCOA001,17,PLTUBanten113047,30.0,1997,0.624
IDN18PWRCOA001,IDN,PWRCOA001,18,PLTUBanten213048,30.0,1997,0.6
IDN19PWRCOA001,IDN,PWRCOA001,19,PLTUBanten313049,30.0,1997,0.944
IDN20PWRCOA001,IDN,PWRCOA001,20,PLTUBilibili13050,30.0,1997,0.002
IDN21PWRCOA001,IDN,PWRCOA001,21,PLTUBukitAsam13051,30.0,1997,0.03
IDN22PWRCOA001,IDN,PWRCOA001,22,PLTUCilacap113052,30.0,1997,0.6
IDN23PWRCOA001,IDN,PWRCOA001,23,PLTUCirebon13053,30.0,1997,0.66
IDN24PWRCOA001,IDN,PWRCOA001,24,PLTUEmbalut13054,30.0,1997,0.05
IDN25PWRCOA001,IDN,PWRCOA001,25,PLTUGresik13055,30.0,1997,0.6
IDN26PWRCOA001,IDN,PWRCOA001,26,PLTUHendratna13056,30.0,1997,0.005
IDN27PWRCOA001,IDN,PWRCOA001,27,PLTUJabarSela13057,30.0,1997,1.052
IDN28PWRCOA001,IDN,PWRCOA001,28,PLTUJawaBarat13058,30.0,1997,0.992
IDN29PWRCOA001,IDN,PWRCOA001,29,PLTUJawaTenga13059,30.0,1997,0.63
IDN30PWRCOA001,IDN,PWRCOA001,30,PLTUJeneponto13044,30.0,1997,0.25
IDN31PWRCOA001,IDN,PWRCOA001,31,PLTUKaur13060,30.0,1997,0.2
IDN32PWRCOA001,IDN,PWRCOA001,32,PLTUKeramasan13061,30.0,1997,0.025
IDN33PWRCOA001,IDN,PWRCOA001,33,PLTUKupang13062,30.0,1997,0.03
IDN34PWRCOA001,IDN,PWRCOA001,34,PLTULabuhanAn13063,30.0,1997,0.23
IDN35PWRCOA001,IDN,PWRCOA001,35,PLTULati13064,30.0,1997,0.014
IDN36PWRCOA001,IDN,PWRCOA001,36,PLTUListrindo13065,30.0,1997,0.003
IDN37PWRCOA001,IDN,PWRCOA001,37,PLTUMuaraKara13066,30.0,1997,0.4
IDN38PWRCOA001,IDN,PWRCOA001,38,PLTUNADNagan13067,30.0,1997,0.22
IDN39PWRCOA001,IDN,PWRCOA001,39,PLTUOmbilin13068,30.0,1997,0.2
IDN40PWRCOA001,IDN,PWRCOA001,40,PLTUPaitonIU13069,30.0,1997,5.364
IDN41PWRCOA001,IDN,PWRCOA001,41,PLTUPakerin13070,30.0,1997,0.034
IDN42PWRCOA001,IDN,PWRCOA001,42,PLTUPaluM13043,30.0,1997,0.03
IDN43PWRCOA001,IDN,PWRCOA001,43,PLTUPangkalan13071,30.0,1997,0.014
IDN44PWRCOA001,IDN,PWRCOA001,44,PLTUPangkalan13072,30.0,1997,0.4
IDN45PWRCOA001,IDN,PWRCOA001,45,PLTUPerak13073,30.0,1997,0.1
IDN46PWRCOA001,IDN,PWRCOA001,46,PLTUPriok313074,30.0,1997,0.1
IDN47PWRCOA001,IDN,PWRCOA001,47,PLTURancong13075,30.0,1997,0.03
IDN48PWRCOA001,IDN,PWRCOA001,48,PLTUSanggau13076,30.0,1997,0.014
IDN49PWRCOA001,IDN,PWRCOA001,49,PLTUSimpangBe13077,30.0,1997,0.227
IDN50PWRCOA001,IDN,PWRCOA001,50,PLTUSulawesiS13078,30.0,1997,0.1
IDN51PWRCOA001,IDN,PWRCOA001,51,PLTUSumbarT13079,30.0,1997,0.112
IDN52PWRCOA001,IDN,PWRCOA001,52,PLTUSuparma13080,30.0,1997,0.027
IDN53PWRCOA001,IDN,PWRCOA001,53,PLTUSuralaya13081,30.0,1997,3.396
IDN54PWRCOA001,IDN,PWRCOA001,54,PLTUTabalong13082,30.0,1997,0.06
IDN55PWRCOA001,IDN,PWRCOA001,55,PLTUTambakLor13083,30.0,1997,0.3
IDN56PWRCOA001,IDN,PWRCOA001,56,PLTUTanjungAl13084,30.0,1997,0.008
IDN57PWRCOA001,IDN,PWRCOA001,57,PLTUTanjungEn13085,30.0,1997,0.26
IDN58PWRCOA001,IDN,PWRCOA001,58,PLTUTanjungJa13086,30.0,1997,1.32
IDN59PWRCOA001,IDN,PWRCOA001,59,PLTUTanjungJa13087,30.0,1997,1.325
IDN60PWRCOA001,IDN,PWRCOA001,60,PLTUTanjungKa13088,30.0,1997,0.11
IDN61PWRCOA001,IDN,PWRCOA001,61,PLTUTarahan13089,30.0,1997,0.2
IDN62PWRCOA001,IDN,PWRCOA001,62,PLTUTarahan313090,30.0,1997,0.2
IDN63PWRCOA001,IDN,PWRCOA001,63,PLTUTello13091,30.0,1997,0.025
IDN64PWRCOA001,IDN,PWRCOA001,64,PLTUTonasaII13092,30.0,1997,0.07
IDN65PWRCOA001,IDN,PWRCOA001,65,Pacitanpowers13093,30.0,2011,0.63
IDN66PWRCOA001,IDN,PWRCOA001,66,PekanbaruTenay13095,30.0,2016,0.22
IDN67PWRCOA001,IDN,PWRCOA001,67,PerawangMillp13097,30.0,2009,0.756
IDN68PWRCOA001,IDN,PWRCOA001,68,PurwakartaIndo13102,30.0,2006,0.06
IDN69PWRCOA001,IDN,PWRCOA001,69,SulawesiMining13112,30.0,2016,0.28
IDN70PWRCOA001,IDN,PWRCOA001,70,TanjungAwarAw13117,30.0,2012,0.699
IDN0PWRNGS001,IDN,PWRNGS001,0,Capacity Scaler,30.0,1994,2.3329923642
IDN1PWRNGS001,IDN,PWRNGS001,1,NorthDuriCoge13001,30.0,1994,0.3
IDN0PWRNGS002,IDN,PWRNGS002,0,PLTGBSingkawan13024,30.0,1994,0.009
