Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,30.0,Estimated Installed Capacity (MW)
Coal Power Plant,2015,1876.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,4221.14,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,222.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,19.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,1.25,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,2.01,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,30.0,Estimated Installed Capacity (MW)
Coal Power Plant,2016,1876.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,4221.14,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,222.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,19.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,1.63,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,2.01,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,30.0,Estimated Installed Capacity (MW)
Coal Power Plant,2017,1876.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,4221.14,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,222.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,19.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,1.63,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,2.01,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,30.0,Estimated Installed Capacity (MW)
Coal Power Plant,2018,1876.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,4221.14,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,222.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,19.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,1.63,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,2.01,Estimated Installed Capacity (MW)
