Power Generation Technology,Year,Value,Parameter
Medium Hydropower Plant (10-100MW),2015,72.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.16,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,0.18,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,72.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,0.16,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,0.18,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,72.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,0.16,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,0.18,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,72.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,0.16,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,0.18,Estimated Installed Capacity (MW)
