Power Generation Technology,Year,Value,Parameter
Large Hydropower Plant (Dam) (>100MW),2015,200.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,106.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,5.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,17.23,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,200.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,106.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,5.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,17.51,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,200.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,106.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,5.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,19.58,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,200.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,106.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,5.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,19.58,Estimated Installed Capacity (MW)
