Power Generation Technology,Year,Value,Parameter
Coal Power Plant,2015,2921.02,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,338.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,1666.0,Estimated Installed Capacity (MW)
CSP without Storage,2015,690.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,1207.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,453.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,17.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,1266.35,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,18.8,Estimated Installed Capacity (MW)
Coal Power Plant,2016,2621.02,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,338.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,1666.0,Estimated Installed Capacity (MW)
CSP without Storage,2016,690.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,1207.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,453.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,17.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,1266.35,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,20.87,Estimated Installed Capacity (MW)
Coal Power Plant,2017,2621.02,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,338.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,1666.0,Estimated Installed Capacity (MW)
CSP without Storage,2017,690.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,1207.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,453.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,17.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,1266.35,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,22.9,Estimated Installed Capacity (MW)
Coal Power Plant,2018,2621.02,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,338.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,1666.0,Estimated Installed Capacity (MW)
CSP without Storage,2018,690.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,1207.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,453.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,8.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,1266.35,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,22.9,Estimated Installed Capacity (MW)
