Power Generation Technology,Year,Value,Parameter
Large Hydropower Plant (Dam) (>100MW),2015,2242.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,44.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,10.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,1.06,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,2242.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,44.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,13.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,1.06,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,2242.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,44.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,15.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,1.06,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,2242.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,44.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,15.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,1.06,Estimated Installed Capacity (MW)
