Power Generation Technology,Year,Value,Parameter
Light Fuel Oil Power Plant,2015,53.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,23.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,50.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.42,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,0.25,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,53.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,23.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,50.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,0.48,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,0.25,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,53.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,23.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,50.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,3.83,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,4.89,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,53.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,23.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,50.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,4.25,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,4.89,Estimated Installed Capacity (MW)
