lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
KOR0PWRBIO001,KOR,PWRBIO001,0,BugokBiomass16721,30.0,2001,0.105
KOR1PWRBIO001,KOR,PWRBIO001,1,Capacity Scaler,30.0,2001,0.74988
KOR2PWRBIO001,KOR,PWRBIO001,2,KDHCDaegu16775,30.0,2001,0.003
KOR0PWRCOA001,KOR,PWRCOA001,0,Boryeongporya16717,30.0,1997,4.004
KOR1PWRCOA001,KOR,PWRCOA001,1,Bukeju16722,30.0,2000,0.15
KOR2PWRCOA001,KOR,PWRCOA001,2,Bukpyungpower16723,30.0,2017,1.192
KOR3PWRCOA001,KOR,PWRCOA001,3,Capacity Scaler,30.0,1997,5.996
KOR4PWRCOA001,KOR,PWRCOA001,4,Dangjin16736,30.0,1997,4.004
KOR5PWRCOA001,KOR,PWRCOA001,5,Donghaepowers16740,30.0,1998,0.4
KOR6PWRCOA001,KOR,PWRCOA001,6,Hadong16756,30.0,1997,4.004
KOR7PWRCOA001,KOR,PWRCOA001,7,Honam16762,30.0,1973,0.5
KOR8PWRCOA001,KOR,PWRCOA001,8,SaemangeumOcis16790,30.0,2016,0.306
KOR9PWRCOA001,KOR,PWRCOA001,9,SamcheokGreen16791,30.0,2016,2.044
KOR10PWRCOA001,KOR,PWRCOA001,10,Samcheonpo16792,30.0,1997,3.245
KOR11PWRCOA001,KOR,PWRCOA001,11,Seagullpowers16798,30.0,2014,0.422
KOR12PWRCOA001,KOR,PWRCOA001,12,Seocheon16801,30.0,1983,0.4
KOR13PWRCOA001,KOR,PWRCOA001,13,ShinBoryeongp16805,30.0,2017,2.002
KOR14PWRCOA001,KOR,PWRCOA001,14,Taean16818,30.0,1997,4.004
KOR15PWRCOA001,KOR,PWRCOA001,15,Yeongdong16828,30.0,1997,0.326
KOR16PWRCOA001,KOR,PWRCOA001,16,Yeongheung16829,30.0,1997,5.083
KOR17PWRCOA001,KOR,PWRCOA001,17,Yeongnam16831,30.0,1997,0.4
KOR18PWRCOA001,KOR,PWRCOA001,18,Yeosu16834,30.0,2011,0.678
KOR0PWRNGS001,KOR,PWRNGS001,0,AnsanProject16712,30.0,2014,0.834
KOR1PWRNGS001,KOR,PWRNGS001,1,AnyangCHP16713,30.0,1994,0.494
KOR0PWRNGS002,KOR,PWRNGS002,0,AsanBaebangCH16714,30.0,1994,0.114
KOR2PWRNGS001,KOR,PWRNGS001,2,BoryeongCC16716,30.0,2004,1.8
KOR3PWRNGS001,KOR,PWRNGS001,3,BucheonPower16719,30.0,1994,0.474
KOR4PWRNGS001,KOR,PWRNGS001,4,Bugok16720,30.0,1994,1.504
KOR5PWRNGS001,KOR,PWRNGS001,5,Bundang16724,30.0,1994,0.921
KOR6PWRNGS001,KOR,PWRNGS001,6,Busanpusan16725,30.0,1994,1.8
KOR7PWRNGS001,KOR,PWRNGS001,7,Capacity Scaler,30.0,1994,3.0421
KOR8PWRNGS001,KOR,PWRNGS001,8,DaeguInnovatio16733,30.0,1994,0.416
KOR9PWRNGS001,KOR,PWRNGS001,9,DaesanWorks16734,30.0,1994,0.131
KOR10PWRNGS001,KOR,PWRNGS001,10,Dongducheon16738,30.0,1994,1.9
KOR11PWRNGS001,KOR,PWRNGS001,11,FINEX16741,30.0,2007,0.146
KOR12PWRNGS001,KOR,PWRNGS001,12,Gunsan16752,30.0,2010,0.72
KOR13PWRNGS001,KOR,PWRNGS001,13,GwangyangPOSCO16754,30.0,2000,0.5
KOR14PWRNGS001,KOR,PWRNGS001,14,GwangyangWorks16755,30.0,1994,0.831
KOR15PWRNGS001,KOR,PWRNGS001,15,HwasungKDHC16765,30.0,2008,0.51
KOR16PWRNGS001,KOR,PWRNGS001,16,Ilsan16766,30.0,1994,0.9
KOR17PWRNGS001,KOR,PWRNGS001,17,Incheon16768,30.0,2015,3.056
KOR18PWRNGS001,KOR,PWRNGS001,18,KOMIPOIncheon16776,30.0,1994,1.96
KOR19PWRNGS001,KOR,PWRNGS001,19,Kwangyang16778,30.0,2006,1.071
KOR20PWRNGS001,KOR,PWRNGS001,20,Oseong16783,30.0,2013,0.831
KOR21PWRNGS001,KOR,PWRNGS001,21,Paju16784,30.0,2016,0.516
KOR22PWRNGS001,KOR,PWRNGS001,22,Pocheon16786,30.0,2014,1.56
KOR23PWRNGS001,KOR,PWRNGS001,23,PohangWorks16787,30.0,2001,0.345
KOR24PWRNGS001,KOR,PWRNGS001,24,Pyeongtaek16789,30.0,1994,1.348
KOR25PWRNGS001,KOR,PWRNGS001,25,SejongCity16800,30.0,2013,0.55
KOR26PWRNGS001,KOR,PWRNGS001,26,Seoincheon16802,30.0,1992,1.8
KOR27PWRNGS001,KOR,PWRNGS001,27,Shinincheon16809,30.0,2012,1.8
KOR28PWRNGS001,KOR,PWRNGS001,28,Songdo16812,30.0,2010,0.211
KOR1PWRNGS002,KOR,PWRNGS002,1,SuwanEnergy16816,30.0,2011,0.118
KOR29PWRNGS001,KOR,PWRNGS001,29,Yeongwol16833,30.0,2010,0.849
KOR2PWRNGS002,KOR,PWRNGS002,2,YoesuLotte16835,30.0,2003,0.08
KOR30PWRNGS001,KOR,PWRNGS001,30,Yulchon16838,30.0,1994,1.476
KOR0PWRHYD002,KOR,PWRHYD002,0,AndongKowaco16711,80.0,1974,0.09
KOR0PWRHYD003,KOR,PWRHYD003,0,Baekje16715,80.0,1974,0.003
KOR1PWRHYD003,KOR,PWRHYD003,1,BoryeongHydro16718,80.0,1974,0.008
KOR1PWRHYD002,KOR,PWRHYD002,1,ChanCheon16726,80.0,1965,0.062
KOR2PWRHYD003,KOR,PWRHYD003,2,ChangnyeongHama16727,80.0,1974,0.005
KOR0PWRHYD001,KOR,PWRHYD001,0,Cheongpyeong16728,80.0,1980,0.4
KOR1PWRHYD001,KOR,PWRHYD001,1,Cheongsong16729,80.0,2000,0.6
KOR3PWRHYD003,KOR,PWRHYD003,3,Chilgok16730,80.0,1974,0.003
KOR2PWRHYD001,KOR,PWRHYD001,2,Chungju16731,80.0,1974,0.4
KOR2PWRHYD002,KOR,PWRHYD002,2,Daecheong16732,80.0,1974,0.09
KOR4PWRHYD003,KOR,PWRHYD003,4,Dalseong16735,80.0,1974,0.003
