Power Generation Technology,Year,Value,Parameter
Light Fuel Oil Power Plant,2015,52.89,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,12.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.16,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,52.89,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,12.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,0.43,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,52.89,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,12.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,0.45,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,52.89,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,12.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,0.55,Estimated Installed Capacity (MW)
