lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
VNM0PWRBIO001,VNM,PWRBIO001,0,Capacity Scaler,30.0,2001,0.233
VNM1PWRBIO001,VNM,PWRBIO001,1,GiaLaisugarc29746,30.0,2001,0.012
VNM2PWRBIO001,VNM,PWRBIO001,2,LapVoRiceHus29777,30.0,2001,0.01
VNM0PWRCOA001,VNM,PWRCOA001,0,AnKhanhI29671,30.0,2015,0.12
VNM1PWRCOA001,VNM,PWRCOA001,1,CamPhaI29690,30.0,1997,0.6
VNM2PWRCOA001,VNM,PWRCOA001,2,CaoNgan29694,30.0,1997,0.115
VNM3PWRCOA001,VNM,PWRCOA001,3,Capacity Scaler,30.0,1997,0.8087918283
VNM4PWRCOA001,VNM,PWRCOA001,4,DuyenHai129740,30.0,1997,1.245
VNM5PWRCOA001,VNM,PWRCOA001,5,DuyenHai329741,30.0,1997,0.621
VNM6PWRCOA001,VNM,PWRCOA001,6,FormosaDongNa29744,30.0,1997,0.31
VNM7PWRCOA001,VNM,PWRCOA001,7,FormosaHaTinh29745,30.0,1997,0.15
VNM8PWRCOA001,VNM,PWRCOA001,8,HaiPhong129749,30.0,1997,0.6
VNM9PWRCOA001,VNM,PWRCOA001,9,HaiPhong229750,30.0,1997,0.6
VNM10PWRCOA001,VNM,PWRCOA001,10,MaoKhe29778,30.0,1997,0.44
VNM11PWRCOA001,VNM,PWRCOA001,11,MongDuong129779,30.0,1997,1.08
VNM12PWRCOA001,VNM,PWRCOA001,12,MongDuong229780,30.0,1997,1.12
VNM13PWRCOA001,VNM,PWRCOA001,13,NaDuong29783,30.0,1997,0.11
VNM14PWRCOA001,VNM,PWRCOA001,14,NghiSon129805,30.0,1997,0.6
VNM15PWRCOA001,VNM,PWRCOA001,15,NinhBinh29813,30.0,1997,0.1
VNM16PWRCOA001,VNM,PWRCOA001,16,NongSon29814,30.0,1997,0.03
VNM17PWRCOA001,VNM,PWRCOA001,17,PhaLai129818,30.0,1997,0.44
VNM18PWRCOA001,VNM,PWRCOA001,18,PhaLai229819,30.0,1997,0.6
VNM19PWRCOA001,VNM,PWRCOA001,19,QuangNinh129828,30.0,1997,1.2
VNM20PWRCOA001,VNM,PWRCOA001,20,SonDong29838,30.0,1997,0.22
VNM21PWRCOA001,VNM,PWRCOA001,21,ThaiBinhPower29870,30.0,2017,0.6
VNM22PWRCOA001,VNM,PWRCOA001,22,UongBi29880,30.0,1997,0.735
VNM23PWRCOA001,VNM,PWRCOA001,23,VinhTan229883,30.0,1997,1.245
VNM24PWRCOA001,VNM,PWRCOA001,24,VungAngI29884,30.0,1997,1.245
VNM0PWRNGS001,VNM,PWRNGS001,0,BaRia29674,30.0,1994,0.389
VNM1PWRNGS001,VNM,PWRNGS001,1,CaMau129688,30.0,1994,1.544
VNM2PWRNGS001,VNM,PWRNGS001,2,Capacity Scaler,30.0,1994,0.46249138640000004
VNM3PWRNGS001,VNM,PWRNGS001,3,NhonTrach129812,30.0,1994,1.216
VNM4PWRNGS001,VNM,PWRNGS001,4,OMon129816,30.0,1994,0.66
VNM5PWRNGS001,VNM,PWRNGS001,5,PhuMy129820,30.0,1994,1.107
VNM6PWRNGS001,VNM,PWRNGS001,6,PhuMy2129821,30.0,1994,0.897
VNM7PWRNGS001,VNM,PWRNGS001,7,PhuMy2229822,30.0,1994,0.734
VNM8PWRNGS001,VNM,PWRNGS001,8,PhuMy329823,30.0,1994,0.734
VNM9PWRNGS001,VNM,PWRNGS001,9,PhuMy429824,30.0,1994,0.458
VNM0PWRHYD001,VNM,PWRHYD001,0,ALuoi29668,80.0,2012,0.17
VNM1PWRHYD001,VNM,PWRHYD001,1,AVuong29669,80.0,2008,0.21
VNM2PWRHYD001,VNM,PWRHYD001,2,AnKheKanak29672,80.0,2009,0.173
VNM0PWRHYD003,VNM,PWRHYD003,0,AyunHa29673,80.0,1974,0.003
VNM0PWRHYD002,VNM,PWRHYD002,0,BaThuoc229675,80.0,2012,0.08
VNM1PWRHYD002,VNM,PWRHYD002,1,BacBinh29676,80.0,2009,0.033
VNM3PWRHYD001,VNM,PWRHYD001,3,BanChat29678,80.0,2013,0.22
VNM2PWRHYD002,VNM,PWRHYD002,2,BanCoc29679,80.0,2009,0.018
